vendor_id,name,town,region,supplies,behaviour,gstin,material_gcv
V46,Khatu Vijay Biomass Suppliers,Rajkot,Gujarat,husk,diverter,24TDAAA2045A1Z5,3043
V47,Shree Laxmi Biomass Suppliers,Bhavnagar,Gujarat,both,reliable,24UKAAA2046A1Z6,3468
V48,Maa Balaji Trading Co,Junagadh,Gujarat,husk,reliable,24VRAAA2047A1Z7,3142
V49,Nakoda Ramdev Trading Co,Morbi,Gujarat,husk,reliable,24WYAAA2048A1Z8,3208
V50,New Govind Agro Company,Morbi,Gujarat,finished,reliable,24XFAAA2049A1Z9,3482
V51,Khatu Rathore Biomass Co,Junagadh,Gujarat,stalk,reliable,24YMAAA2050A1Z0,3577
V52,Salasar Saurashtra Biomass Suppliers,Morbi,Gujarat,husk,late,24ZTAAA2051A1Z1,3042
V53,Jai Rathore Krishi Bhandar,Morbi,Gujarat,stalk,reliable,24AAAAA2052A1Z2,3462
V54,New Banas Biomass Co,Morbi,Gujarat,stalk,late,24BHAAA2053A1Z3,3230
V55,Shree Vijay Agro Traders,Junagadh,Gujarat,husk,reliable,24COAAA2054A1Z4,3161
