grn_no,received_date,vendor_name,qty_qtl,rate
GRN00052,2023-07-18,Shree Ambaji Trading Company,3395.0,2714
GRN00053,2023-07-08,Shree Girnar Krishi Udyog,1747.0,2458
GRN00054,2023-08-05,Maa Kathiawad Biomass LLP,2738.0,2527
GRN00055,2023-08-18,Shree Girnar Krishi Udyog,2093.0,2483
GRN00056,2023-07-31,Om Bhal Trading Company,4135.0,2647
GRN00057,2023-07-11,Sardar Sabar Agri Residue LLP,2032.0,2484
GRN00058,2023-07-18,Jay Bhal Agri Residue LLP,2248.0,2436
GRN00059,2023-07-30,Dwarka Ambaji Trading Company,1679.0,2669
GRN00060,2023-07-25,Dwarka Girnar Trading Company,1732.0,2438
GRN00061,2023-07-15,Maa Girnar Krishi Udyog,1376.0,2449
GRN00062,2023-07-14,Dwarka Girnar Trading Company,3155.0,2521
GRN00063,2023-07-15,New Patel Agri Residue LLP,3563.0,2571
GRN00064,2023-07-28,Shree Girnar Krishi Udyog,2380.0,2433
GRN00065,2023-07-24,Jay Sabar Biofuels,1426.0,2505
GRN00066,2023-08-02,Maa Solanki Krishi Udyog,3199.0,2520
GRN00067,2023-07-30,Maa Kathiawad Biomass LLP,2582.0,2491
GRN00068,2023-07-17,Shree Saurashtra Biomass LLP,3242.0,2438
GRN00069,2023-08-21,Somnath Sabar Biofuels,3305.0,2446
GRN00070,2023-07-28,Om Chudasama Bioenergy,2756.0,2526
GRN00071,2023-08-17,Shree Girnar Krishi Udyog,1262.0,2563
GRN00072,2023-07-16,Jay Sabar Biofuels,3494.0,2461
GRN00073,2023-08-09,Dwarka Ambaji Trading Company,3921.0,2650
GRN00074,2023-07-14,New Patel Agri Residue LLP,2524.0,2550
GRN00075,2023-07-22,Somnath Girnar Biofuels,2698.0,2632
GRN00076,2023-08-24,Jay Bhal Agri Residue LLP,1215.0,2463
GRN00077,2023-08-28,Shree Saurashtra Biomass LLP,2890.0,2467
GRN00078,2023-09-12,Somnath Sabar Biofuels,3819.0,2460
GRN00079,2023-08-22,Jay Chudasama Agri Residue LLP,1495.0,2383
GRN00080,2023-08-25,Maa Girnar Krishi Udyog,3980.0,2409
GRN00081,2023-08-20,Shree Saurashtra Biomass LLP,1784.0,2498
GRN00082,2023-09-15,Dwarka Ambaji Trading Company,3852.0,2587
GRN00083,2023-09-12,Shree Girnar Krishi Udyog,2946.0,2388
GRN00084,2023-08-31,Om Bhal Trading Company,3500.0,2646
GRN00085,2023-08-13,Somnath Bhadar Biomass LLP,4100.0,2440
GRN00086,2023-08-11,Sardar Bhadar Agro Traders,1473.0,2491
GRN00087,2023-09-07,Shree Girnar Krishi Udyog,3677.0,2467
GRN00088,2023-08-28,Jay Sabar Agri Residue LLP,1296.0,2433
GRN00089,2023-08-29,Dwarka Ambaji Trading Company,1776.0,2595
GRN00090,2023-08-23,Sardar Bhadar Agro Traders,1612.0,2477
GRN00091,2023-08-21,Dwarka Girnar Trading Company,3728.0,2487
GRN00092,2023-08-23,Dwarka Desai Krishi Udyog,2250.0,2687
GRN00093,2023-09-28,Dwarka Ambaji Trading Company,4055.0,2480
GRN00094,2023-09-28,Dwarka Ambaji Trading Company,3167.0,2574
GRN00095,2023-09-27,Om Chudasama Bioenergy,2952.0,2330
GRN00096,2023-10-13,Dwarka Ambaji Trading Company,3945.0,2460
GRN00097,2023-09-17,Jay Sabar Agri Residue LLP,3912.0,2356
GRN00098,2023-10-09,Maa Kathiawad Biomass LLP,2267.0,2274
GRN00099,2023-10-07,Shree Girnar Krishi Udyog,2293.0,2338
GRN00100,2023-09-12,Om Chudasama Bioenergy,3743.0,2307
GRN00101,2023-09-17,Sardar Bhadar Agro Traders,3790.0,2308
GRN00102,2023-09-28,Sardar Bhadar Agro Traders,1698.0,2380
GRN00103,2023-09-24,New Gohil Biomass LLP,3861.0,2314
GRN00104,2023-09-10,Dwarka Girnar Trading Company,2966.0,2333
GRN00105,2023-10-19,Somnath Sabar Biofuels,3662.0,2309
GRN00106,2023-10-05,Somnath Sabar Biofuels,4121.0,2401
GRN00107,2023-10-20,Dwarka Ambaji Trading Company,2087.0,2587
GRN00108,2023-09-24,New Gohil Biomass LLP,2177.0,2374
GRN00109,2023-09-10,Somnath Girnar Biofuels,1466.0,2560
GRN00110,2023-09-19,Jay Sabar Agri Residue LLP,2790.0,2372
GRN00111,2023-09-18,Maa Girnar Krishi Udyog,3375.0,2362
GRN00112,2023-10-13,Shree Girnar Krishi Udyog,2453.0,2275
GRN00113,2023-11-09,Somnath Sabar Biofuels,2380.0,2262
GRN00114,2023-11-05,Shree Ambaji Trading Company,1524.0,2486
GRN00115,2023-10-28,Shree Saurashtra Biomass LLP,3000.0,2229
GRN00116,2023-11-23,Maa Solanki Krishi Udyog,1425.0,2302
GRN00117,2023-10-26,Shree Girnar Krishi Udyog,3865.0,2248
GRN00118,2023-10-18,Somnath Girnar Biofuels,1440.0,2487
GRN00119,2023-10-24,Maa Girnar Krishi Udyog,1975.0,2251
GRN00120,2023-11-16,Maa Kathiawad Biomass LLP,2177.0,2223
GRN00121,2023-11-10,Shree Ambaji Trading Company,2733.0,2438
GRN00122,2023-10-30,Somnath Sabar Biofuels,3206.0,2289
GRN00123,2023-10-19,Dwarka Girnar Trading Company,2563.0,2257
GRN00124,2023-10-28,Dwarka Desai Agri Residue LLP,2112.0,2292
GRN00125,2023-11-18,Dwarka Ambaji Trading Company,2524.0,2379
GRN00126,2023-11-06,Shree Girnar Krishi Udyog,2805.0,2279
GRN00127,2023-11-13,Shree Girnar Krishi Udyog,3850.0,2270
GRN00128,2023-11-21,Jay Bhal Agri Residue LLP,3818.0,2163
GRN00129,2023-12-15,Om Bhal Trading Company,3399.0,2287
GRN00130,2023-11-22,New Patel Agri Residue LLP,3180.0,2210
GRN00131,2023-12-04,Shree Ambaji Trading Company,2931.0,2310
GRN00132,2023-12-05,Om Bhal Trading Company,2303.0,2400
GRN00133,2023-11-14,Jay Bhal Agri Residue LLP,1835.0,2186
GRN00134,2023-11-28,New Gohil Biomass LLP,3112.0,2160
GRN00135,2023-11-16,Jay Sabar Biofuels,3074.0,2150
GRN00136,2023-11-22,Dwarka Gohil Pellet Works,2386.0,2197
GRN00137,2023-11-25,Maa Girnar Krishi Udyog,3979.0,2246
GRN00138,2023-11-19,Sardar Bhadar Agro Traders,3819.0,2118
GRN00139,2023-11-28,Shree Girnar Krishi Udyog,1465.0,2166
GRN00140,2023-11-10,Dwarka Desai Agri Residue LLP,2298.0,2162
GRN00141,2023-11-12,New Patel Agri Residue LLP,2349.0,2152
GRN00142,2023-11-13,Shree Saurashtra Biomass LLP,1378.0,2197
GRN00143,2023-12-22,New Patel Agri Residue LLP,2665.0,2113
GRN00144,2023-12-11,Jay Bhal Agri Residue LLP,2602.0,2172
GRN00145,2023-12-18,Sardar Sabar Agri Residue LLP,4128.0,2085
GRN00146,2023-12-12,Somnath Bhadar Biomass LLP,3020.0,2159
GRN00147,2023-12-16,Maa Girnar Krishi Udyog,925.0,2191
GRN00148,2023-12-15,Om Chudasama Bioenergy,3814.0,2091
GRN00149,2023-12-12,Sardar Bhadar Agro Traders,2590.0,2199
GRN00150,2023-12-23,Om Chudasama Bioenergy,2207.0,2195
GRN00151,2023-12-17,Jay Chudasama Agri Residue LLP,2912.0,2149
GRN00152,2023-12-23,Dwarka Girnar Trading Company,2688.0,2189
GRN00153,2023-12-27,Jay Sabar Agri Residue LLP,2633.0,2112
GRN00154,2023-12-18,Maa Girnar Krishi Udyog,2014.0,2139
GRN00155,2023-12-18,Somnath Bhadar Biomass LLP,1308.0,2085
GRN00156,2023-12-13,Shree Saurashtra Biomass LLP,3282.0,2176
GRN00157,2023-12-11,Sardar Bhadar Agro Traders,3560.0,2157
GRN00158,2024-02-05,Dwarka Ambaji Trading Company,3839.0,2370
GRN00159,2024-01-14,Dwarka Desai Krishi Udyog,3336.0,2365
GRN00160,2024-01-19,Maa Girnar Krishi Udyog,1887.0,2240
GRN00161,2024-02-05,Dwarka Ambaji Trading Company,1309.0,2417
GRN00162,2024-01-25,Jay Sabar Agri Residue LLP,2129.0,2233
GRN00163,2024-02-11,Somnath Sabar Biofuels,1414.0,2182
GRN00164,2024-02-15,Shree Ambaji Trading Company,1593.0,2392
GRN00165,2024-02-08,Maa Kathiawad Biomass LLP,1747.0,2198
GRN00166,2024-01-14,Somnath Bhadar Biomass LLP,3647.0,2169
GRN00167,2024-02-04,Maa Solanki Krishi Udyog,2625.0,2233
GRN00168,2024-02-15,Shree Ambaji Trading Company,4005.0,2402
GRN00169,2024-02-13,Maa Solanki Krishi Udyog,2528.0,2198
GRN00170,2024-02-14,Somnath Sabar Biofuels,1269.0,2212
GRN00171,2024-01-25,New Patel Agri Residue LLP,1317.0,2120
GRN00172,2024-02-12,Somnath Sabar Biofuels,1325.0,2117
GRN00173,2024-01-17,Shree Saurashtra Biomass LLP,3621.0,2123
GRN00174,2024-01-20,Dwarka Girnar Trading Company,1520.0,2152
GRN00175,2024-02-03,Maa Kathiawad Biomass LLP,2286.0,2169
GRN00176,2024-02-10,Somnath Bhadar Biomass LLP,1530.0,2249
GRN00177,2024-02-20,Sardar Bhadar Agro Traders,1649.0,2296
GRN00178,2024-02-20,Om Chudasama Bioenergy,1064.0,2301
GRN00179,2024-02-27,Dwarka Desai Agri Residue LLP,1723.0,2299
GRN00180,2024-03-12,Om Bhal Trading Company,2434.0,2459
GRN00181,2024-03-09,Maa Solanki Krishi Udyog,2443.0,2259
GRN00182,2024-02-11,Somnath Bhadar Biomass LLP,4041.0,2199
GRN00183,2024-02-27,Sardar Bhadar Agro Traders,3110.0,2247
GRN00184,2024-02-25,Jay Sabar Agri Residue LLP,1485.0,2237
GRN00185,2024-02-25,New Gohil Biomass LLP,2753.0,2291
GRN00186,2024-02-11,Sardar Sabar Agri Residue LLP,3957.0,2196
GRN00187,2024-02-26,Dwarka Desai Krishi Udyog,3999.0,2471
GRN00188,2024-02-12,Dwarka Gohil Pellet Works,2106.0,2285
GRN00189,2024-02-17,Jay Chudasama Agri Residue LLP,3144.0,2199
GRN00190,2024-03-14,Dwarka Ambaji Trading Company,3296.0,2457
GRN00191,2024-02-14,Jay Sabar Agri Residue LLP,4196.0,2187
GRN00192,2024-02-18,Maa Girnar Krishi Udyog,1764.0,2211
GRN00193,2024-03-28,Sardar Bhadar Agro Traders,4188.0,2265
GRN00194,2024-03-10,Dwarka Desai Krishi Udyog,2701.0,2459
GRN00195,2024-03-14,Dwarka Girnar Trading Company,1347.0,2320
GRN00196,2024-04-16,Maa Solanki Krishi Udyog,2150.0,2358
GRN00197,2024-03-22,New Patel Agri Residue LLP,3928.0,2294
GRN00198,2024-04-11,Om Bhal Trading Company,3764.0,2475
GRN00199,2024-03-14,Dwarka Gohil Pellet Works,1975.0,2356
GRN00200,2024-03-19,Somnath Bhadar Biomass LLP,2685.0,2348
GRN00201,2024-03-23,Jay Chudasama Agri Residue LLP,3354.0,2237
GRN00202,2024-04-22,Dwarka Ambaji Trading Company,1650.0,2452
GRN00203,2024-04-18,Somnath Sabar Biofuels,1993.0,2363
GRN00204,2024-04-10,Maa Solanki Krishi Udyog,3218.0,2253
GRN00205,2024-03-26,Dwarka Gohil Pellet Works,3659.0,2361
GRN00206,2024-03-10,Somnath Girnar Biofuels,3437.0,2432
GRN00207,2024-03-16,Jay Chudasama Agri Residue LLP,1578.0,2329
GRN00208,2024-03-19,Dwarka Girnar Trading Company,2242.0,2247
GRN00209,2024-03-22,Maa Girnar Krishi Udyog,988.0,2296
GRN00210,2024-05-14,Dwarka Ambaji Trading Company,2939.0,2646
GRN00211,2024-04-20,Om Chudasama Bioenergy,1397.0,2451
GRN00212,2024-04-25,Dwarka Gohil Pellet Works,2689.0,2422
GRN00213,2024-04-26,Sardar Sabar Agri Residue LLP,2307.0,2504
GRN00214,2024-04-28,Jay Sabar Agri Residue LLP,2192.0,2470
GRN00215,2024-04-24,Jay Bhal Agri Residue LLP,3911.0,2473
GRN00216,2024-05-13,Somnath Sabar Biofuels,3034.0,2506
GRN00217,2024-04-16,Dwarka Desai Krishi Udyog,3061.0,2680
GRN00218,2024-04-24,Jay Sabar Agri Residue LLP,2172.0,2462
GRN00219,2024-04-20,Jay Sabar Agri Residue LLP,1851.0,2476
GRN00220,2024-05-15,Dwarka Ambaji Trading Company,2595.0,2720
GRN00221,2024-04-26,Sardar Bhadar Agro Traders,1390.0,2513
GRN00222,2024-04-22,Dwarka Gohil Pellet Works,3739.0,2536
GRN00223,2024-04-25,Jay Sabar Biofuels,3502.0,2426
GRN00224,2024-04-13,Dwarka Desai Agri Residue LLP,2560.0,2479
GRN00225,2024-04-16,Dwarka Desai Agri Residue LLP,1143.0,2425
GRN00226,2024-05-07,Maa Kathiawad Biomass LLP,3994.0,2427
GRN00227,2024-04-28,Jay Chudasama Agri Residue LLP,3694.0,2485
GRN00228,2024-04-28,Jay Sabar Biofuels,614.0,2481
GRN00229,2024-05-01,Shree Ambaji Trading Company,2741.0,2619
GRN00230,2024-05-05,Shree Girnar Krishi Udyog,3060.0,2467
GRN00231,2024-05-23,New Patel Agri Residue LLP,3403.0,2498
GRN00232,2024-05-22,Dwarka Girnar Trading Company,2096.0,2587
GRN00233,2024-05-14,New Gohil Biomass LLP,3140.0,2567
GRN00234,2024-05-11,Jay Chudasama Agri Residue LLP,3902.0,2501
GRN00235,2024-05-18,Shree Saurashtra Biomass LLP,2539.0,2591
GRN00236,2024-05-25,Shree Girnar Krishi Udyog,1809.0,2597
GRN00237,2024-06-08,Dwarka Ambaji Trading Company,1812.0,2768
GRN00238,2024-05-27,Jay Bhal Agri Residue LLP,3926.0,2485
GRN00239,2024-05-17,Somnath Bhadar Biomass LLP,3837.0,2536
GRN00240,2024-06-21,Maa Kathiawad Biomass LLP,1872.0,2543
GRN00241,2024-05-13,Dwarka Girnar Trading Company,1403.0,2493
GRN00242,2024-05-22,Sardar Bhadar Agro Traders,3287.0,2561
GRN00243,2024-06-11,Maa Solanki Krishi Udyog,2998.0,2557
GRN00244,2024-05-13,New Patel Agri Residue LLP,3339.0,2555
GRN00245,2024-05-18,Jay Chudasama Agri Residue LLP,1612.0,2607
GRN00246,2024-05-19,Jay Chudasama Agri Residue LLP,2023.0,2507
GRN00247,2024-06-06,Shree Girnar Krishi Udyog,4199.0,2541
GRN00248,2024-07-04,Maa Solanki Krishi Udyog,1999.0,2557
GRN00249,2024-06-24,Dwarka Desai Krishi Udyog,3216.0,2775
GRN00250,2024-06-19,Somnath Bhadar Biomass LLP,3580.0,2631
GRN00251,2024-06-21,Dwarka Desai Agri Residue LLP,1218.0,2675
GRN00252,2024-06-11,New Gohil Biomass LLP,3673.0,2609
GRN00253,2024-06-13,Om Chudasama Bioenergy,1338.0,2588
GRN00254,2024-07-16,Maa Kathiawad Biomass LLP,3278.0,2567
GRN00255,2024-07-09,Maa Kathiawad Biomass LLP,2679.0,2556
GRN00256,2024-07-08,Om Bhal Trading Company,2443.0,2835
GRN00257,2024-06-26,Jay Sabar Agri Residue LLP,2146.0,2633
GRN00258,2024-06-13,Somnath Girnar Biofuels,1312.0,2862
GRN00259,2024-06-25,Dwarka Girnar Trading Company,3390.0,2648
GRN00260,2024-07-09,Shree Girnar Krishi Udyog,4071.0,2619
GRN00261,2024-07-08,Maa Solanki Krishi Udyog,3518.0,2638
GRN00262,2024-07-11,Somnath Sabar Biofuels,4018.0,2652
GRN00263,2024-06-10,Jay Sabar Agri Residue LLP,1587.0,2529
GRN00264,2024-07-04,Dwarka Ambaji Trading Company,1371.0,2837
GRN00265,2024-07-10,Somnath Girnar Biofuels,3625.0,2909
GRN00266,2024-07-22,Somnath Girnar Biofuels,3019.0,2828
GRN00267,2024-07-27,Jay Bhal Agri Residue LLP,1544.0,2580
GRN00268,2024-07-22,Dwarka Desai Agri Residue LLP,3904.0,2570
GRN00269,2024-07-21,Dwarka Desai Agri Residue LLP,3089.0,2619
GRN00270,2024-07-23,Om Chudasama Bioenergy,1159.0,2717
GRN00271,2024-08-05,Maa Kathiawad Biomass LLP,3618.0,2621
GRN00272,2024-07-24,Jay Sabar Biofuels,1857.0,2680
GRN00273,2024-07-11,Somnath Bhadar Biomass LLP,3456.0,2654
GRN00274,2024-07-19,Jay Chudasama Agri Residue LLP,3818.0,2569
GRN00275,2024-08-01,Dwarka Ambaji Trading Company,3491.0,2803
GRN00276,2024-07-14,Jay Sabar Agri Residue LLP,1530.0,2626
GRN00277,2024-07-25,Shree Saurashtra Biomass LLP,4092.0,2671
GRN00278,2024-07-25,Jay Bhal Agri Residue LLP,1563.0,2584
GRN00279,2024-08-25,Somnath Sabar Biofuels,1536.0,2645
GRN00280,2024-08-10,Om Bhal Trading Company,3501.0,2854
GRN00281,2024-08-20,Dwarka Gohil Pellet Works,1748.0,2524
GRN00282,2024-08-26,Dwarka Desai Krishi Udyog,3458.0,2742
GRN00283,2024-08-27,Somnath Girnar Biofuels,2555.0,2800
GRN00284,2024-09-09,Somnath Sabar Biofuels,1792.0,2579
GRN00285,2024-09-09,Somnath Sabar Biofuels,3151.0,2627
GRN00286,2024-08-20,Dwarka Desai Krishi Udyog,3799.0,2751
GRN00287,2024-08-14,Jay Chudasama Agri Residue LLP,4080.0,2539
GRN00288,2024-08-22,Om Chudasama Bioenergy,1334.0,2528
GRN00289,2024-09-01,Dwarka Ambaji Trading Company,1815.0,2851
GRN00290,2024-09-07,Om Bhal Trading Company,3729.0,2702
GRN00291,2024-08-14,New Gohil Biomass LLP,2019.0,2602
GRN00292,2024-08-15,Sardar Sabar Agri Residue LLP,2138.0,2536
GRN00293,2024-08-21,Somnath Girnar Biofuels,1987.0,2842
GRN00294,2024-09-03,Shree Ambaji Trading Company,1753.0,2861
GRN00295,2024-08-27,Somnath Bhadar Biomass LLP,1394.0,2631
GRN00296,2024-08-31,Maa Kathiawad Biomass LLP,1348.0,2635
GRN00297,2024-09-20,Maa Girnar Krishi Udyog,1774.0,2453
GRN00298,2024-09-18,Jay Sabar Agri Residue LLP,2190.0,2411
GRN00299,2024-09-29,Somnath Sabar Biofuels,3900.0,2402
GRN00300,2024-10-07,Om Bhal Trading Company,3677.0,2686
GRN00301,2024-09-20,Sardar Bhadar Agro Traders,1710.0,2440
GRN00302,2024-09-24,Jay Sabar Agri Residue LLP,2421.0,2491
GRN00303,2024-09-19,Jay Chudasama Agri Residue LLP,1855.0,2474
GRN00304,2024-09-28,Dwarka Girnar Trading Company,1562.0,2448
GRN00305,2024-10-13,Maa Kathiawad Biomass LLP,1283.0,2528
GRN00306,2024-09-23,Maa Girnar Krishi Udyog,2256.0,2519
GRN00307,2024-09-20,Sardar Sabar Agri Residue LLP,2393.0,2533
GRN00308,2024-10-12,Maa Solanki Krishi Udyog,2434.0,2471
GRN00309,2024-09-13,Om Chudasama Bioenergy,3292.0,2487
GRN00310,2024-10-19,Maa Solanki Krishi Udyog,2678.0,2470
GRN00311,2024-10-12,Somnath Sabar Biofuels,3209.0,2522
GRN00312,2024-09-13,Jay Chudasama Agri Residue LLP,2667.0,2501
GRN00313,2024-09-26,Jay Sabar Biofuels,2087.0,2427
GRN00314,2024-10-13,Maa Kathiawad Biomass LLP,3565.0,2507
GRN00315,2024-10-16,Sardar Sabar Agri Residue LLP,2937.0,2368
GRN00316,2024-10-31,Maa Kathiawad Biomass LLP,1251.0,2428
GRN00317,2024-10-17,Jay Chudasama Agri Residue LLP,1596.0,2395
GRN00318,2024-11-17,Shree Ambaji Trading Company,4020.0,2635
GRN00319,2024-10-19,New Gohil Biomass LLP,3061.0,2397
GRN00320,2024-10-21,Somnath Girnar Biofuels,3158.0,2539
GRN00321,2024-10-25,Dwarka Desai Krishi Udyog,1218.0,2642
GRN00322,2024-11-02,Somnath Sabar Biofuels,3811.0,2401
GRN00323,2024-10-10,Sardar Sabar Agri Residue LLP,2703.0,2390
GRN00324,2024-10-27,Dwarka Desai Agri Residue LLP,2889.0,2385
GRN00325,2024-11-01,Maa Kathiawad Biomass LLP,3918.0,2423
GRN00326,2024-11-02,Dwarka Ambaji Trading Company,2935.0,2583
GRN00327,2024-10-17,Jay Chudasama Agri Residue LLP,3106.0,2400
GRN00328,2024-11-16,Shree Girnar Krishi Udyog,3796.0,2376
GRN00329,2024-11-05,Om Bhal Trading Company,3028.0,2647
GRN00330,2024-11-01,Maa Solanki Krishi Udyog,4124.0,2363
GRN00331,2024-10-16,Dwarka Desai Krishi Udyog,1309.0,2582
GRN00332,2024-10-19,Somnath Girnar Biofuels,2526.0,2613
GRN00333,2024-11-17,Somnath Sabar Biofuels,4177.0,2380
GRN00334,2024-10-16,Dwarka Girnar Trading Company,2438.0,2454
GRN00335,2024-10-12,Maa Girnar Krishi Udyog,1528.0,2439
GRN00336,2024-10-12,Dwarka Desai Krishi Udyog,2169.0,2613
GRN00337,2024-12-03,Shree Ambaji Trading Company,2963.0,2479
GRN00338,2024-11-28,Dwarka Desai Agri Residue LLP,1005.0,2247
GRN00339,2024-11-18,Shree Saurashtra Biomass LLP,3508.0,2284
GRN00340,2024-12-15,Dwarka Ambaji Trading Company,4176.0,2516
GRN00341,2024-11-28,Jay Chudasama Agri Residue LLP,3426.0,2315
GRN00342,2024-11-26,Sardar Sabar Agri Residue LLP,3827.0,2242
GRN00343,2024-11-24,Dwarka Gohil Pellet Works,2084.0,2287
GRN00344,2024-11-20,Jay Chudasama Agri Residue LLP,3360.0,2274
GRN00345,2024-11-27,Jay Sabar Biofuels,1962.0,2268
GRN00346,2024-12-08,Somnath Sabar Biofuels,2473.0,2350
GRN00347,2024-11-19,Shree Saurashtra Biomass LLP,1681.0,2362
GRN00348,2024-11-20,Sardar Sabar Agri Residue LLP,2311.0,2297
GRN00349,2024-12-02,Maa Kathiawad Biomass LLP,2364.0,2346
GRN00350,2024-11-26,Somnath Girnar Biofuels,1467.0,2465
GRN00351,2024-11-24,Somnath Girnar Biofuels,1851.0,2439
GRN00352,2024-11-22,New Gohil Biomass LLP,3041.0,2337
GRN00353,2024-11-24,Dwarka Girnar Trading Company,1475.0,2321
GRN00354,2024-11-27,New Gohil Biomass LLP,3111.0,2270
GRN00355,2024-11-20,Jay Chudasama Agri Residue LLP,3464.0,2338
GRN00356,2025-01-06,Maa Solanki Krishi Udyog,2931.0,2287
GRN00357,2024-12-22,Sardar Bhadar Agro Traders,2001.0,2245
GRN00358,2025-01-17,Om Bhal Trading Company,3198.0,2386
GRN00359,2024-12-14,Dwarka Desai Krishi Udyog,2908.0,2440
GRN00360,2024-12-26,Dwarka Girnar Trading Company,2509.0,2199
GRN00361,2024-12-28,Dwarka Desai Krishi Udyog,2434.0,2456
GRN00362,2024-12-19,Dwarka Girnar Trading Company,1804.0,2257
GRN00363,2024-12-18,Jay Bhal Agri Residue LLP,3285.0,2274
GRN00364,2024-12-12,Jay Chudasama Agri Residue LLP,4181.0,2324
GRN00365,2025-01-04,Maa Solanki Krishi Udyog,3613.0,2310
GRN00366,2025-01-14,Maa Kathiawad Biomass LLP,1993.0,2198
GRN00367,2024-12-17,Somnath Bhadar Biomass LLP,1885.0,2225
GRN00368,2024-12-22,Jay Sabar Agri Residue LLP,3289.0,2260
GRN00369,2024-12-23,Sardar Bhadar Agro Traders,2946.0,2317
GRN00370,2025-01-06,Om Bhal Trading Company,4078.0,2505
GRN00371,2024-12-26,Dwarka Gohil Pellet Works,2195.0,2297
GRN00372,2024-12-31,Dwarka Ambaji Trading Company,3314.0,2512
GRN00373,2025-01-03,Shree Ambaji Trading Company,1697.0,2501
GRN00374,2024-12-28,Jay Sabar Agri Residue LLP,2197.0,2268
GRN00375,2024-12-29,Maa Solanki Krishi Udyog,2983.0,2247
GRN00376,2025-01-07,Shree Girnar Krishi Udyog,3745.0,2222
GRN00377,2025-01-18,Dwarka Girnar Trading Company,3101.0,2268
GRN00378,2025-02-15,Shree Girnar Krishi Udyog,1480.0,2261
GRN00379,2025-02-02,Maa Kathiawad Biomass LLP,3223.0,2320
