guid,voucher_type,vch_no,vch_date,ledger_name,amount,dr_cr,narration,entered_at
BV00021,Purchase,21,08-May-2023,Jay Sabar Biofuels,655161.0,Dr,husk purchase,08-May-2023
BV00022,Purchase,22,27-May-2023,Dwarka Girnar Trading Company,733978.2,Dr,husk purchase,27-May-2023
BV00023,Purchase,23,06-May-2023,Jay Chudasama Agri Residue LLP,779226.9,Dr,husk purchase,06-May-2023
BV00024,Purchase,24,10-May-2023,Jay Chudasama Agri Residue LLP,759788.4,Dr,husk purchase,10-May-2023
BV00025,Purchase,25,21-May-2023,Jay Sabar Biofuels,729540.8,Dr,husk purchase,21-May-2023
BV00026,Purchase,26,14-May-2023,Jay Sabar Agri Residue LLP,645218.7,Dr,husk purchase,14-May-2023
BV00027,Purchase,27,12-May-2023,Sardar Bhadar Agro Traders,652416.6,Dr,husk purchase,12-May-2023
BV00028,Purchase,28,02-May-2023,Dwarka Girnar Trading Company,889224.4,Dr,husk purchase,02-May-2023
BV00029,Purchase,29,19-May-2023,Jay Bhal Agri Residue LLP,821816.0,Dr,husk purchase,19-May-2023
BV00030,Purchase,30,11-May-2023,Somnath Sabar Biofuels,652612.6,Dr,husk purchase,11-May-2023
BV00031,Purchase,31,26-May-2023,Shree Saurashtra Biomass LLP,644697.2,Dr,husk purchase,26-May-2023
BV00032,Purchase,32,26-May-2023,Jay Chudasama Agri Residue LLP,856105.0,Dr,husk purchase,26-May-2023
BV00033,Purchase,33,27-May-2023,Dwarka Desai Krishi Udyog,821927.3,Dr,stalk purchase,27-May-2023
BV00034,Purchase,34,26-May-2023,Somnath Girnar Biofuels,835696.8,Dr,stalk purchase,26-May-2023
BV00035,Purchase,35,25-May-2023,Om Sabar Bioenergy,718680.0,Dr,stalk purchase,25-May-2023
BV00036,Purchase,36,19-May-2023,New Gohil Biomass LLP,832076.7,Dr,stalk purchase,19-May-2023
BV00037,Purchase,37,27-May-2023,Om Sabar Bioenergy,864902.4,Dr,stalk purchase,27-May-2023
BV00038,Purchase,38,06-May-2023,Dwarka Ambaji Trading Company,877014.8,Dr,stalk purchase,06-May-2023
BV00039,Purchase,39,09-Jun-2023,Jay Bhal Agri Residue LLP,822245.6,Dr,husk purchase,09-Jun-2023
BV00040,Purchase,40,14-Jun-2023,Sardar Sabar Agri Residue LLP,903182.4,Dr,husk purchase,14-Jun-2023
BV00041,Purchase,41,05-Jun-2023,Somnath Sabar Biofuels,895320.0,Dr,husk purchase,05-Jun-2023
BV00042,Purchase,42,25-Jun-2023,Somnath Sabar Biofuels,867001.1,Dr,husk purchase,25-Jun-2023
BV00043,Purchase,43,20-Jun-2023,Jay Chudasama Agri Residue LLP,727489.5,Dr,husk purchase,20-Jun-2023
BV00044,Purchase,44,04-Jun-2023,Jay Chudasama Agri Residue LLP,856732.8,Dr,husk purchase,04-Jun-2023
BV00045,Purchase,45,10-Jun-2023,Shree Saurashtra Biomass LLP,826664.3,Dr,husk purchase,10-Jun-2023
BV00046,Purchase,46,25-Jun-2023,Sardar Sabar Agri Residue LLP,998367.6,Dr,husk purchase,25-Jun-2023
BV00047,Purchase,47,16-Jun-2023,Jay Chudasama Agri Residue LLP,874808.4,Dr,husk purchase,16-Jun-2023
BV00048,Purchase,48,21-Jun-2023,Maa Girnar Krishi Udyog,886927.6,Dr,husk purchase,21-Jun-2023
BV00049,Purchase,49,12-Jun-2023,Maa Solanki Krishi Udyog,918240.0,Dr,husk purchase,12-Jun-2023
BV00050,Purchase,50,08-Jun-2023,Shree Girnar Krishi Udyog,734356.8,Dr,husk purchase,08-Jun-2023
BV00051,Purchase,51,02-Jun-2023,Somnath Bhadar Biomass LLP,860209.2,Dr,husk purchase,02-Jun-2023
BV00052,Purchase,52,06-Jun-2023,Maa Girnar Krishi Udyog,680169.6,Dr,husk purchase,06-Jun-2023
BV00053,Purchase,53,05-Jun-2023,Sardar Bhadar Agro Traders,883342.8,Dr,husk purchase,05-Jun-2023
BV00054,Purchase,54,08-Jun-2023,Dwarka Desai Krishi Udyog,612150.0,Dr,stalk purchase,08-Jun-2023
BV00055,Purchase,55,14-Jun-2023,New Gohil Biomass LLP,666438.8,Dr,stalk purchase,14-Jun-2023
BV00056,Purchase,56,10-Jun-2023,Dwarka Gohil Pellet Works,604887.2,Dr,stalk purchase,10-Jun-2023
BV00057,Purchase,57,10-Jun-2023,Dwarka Desai Krishi Udyog,672178.0,Dr,stalk purchase,10-Jun-2023
BV00058,Purchase,58,19-Jun-2023,Om Bhal Trading Company,579710.4,Dr,stalk purchase,19-Jun-2023
BV00059,Purchase,59,15-Jun-2023,Dwarka Desai Agri Residue LLP,555610.5,Dr,stalk purchase,15-Jun-2023
BV00060,Purchase,60,12-Jun-2023,Dwarka Desai Agri Residue LLP,563634.0,Dr,stalk purchase,12-Jun-2023
BV00061,Purchase,61,08-Jun-2023,Shree Ambaji Trading Company,573436.0,Dr,stalk purchase,08-Jun-2023
BV00062,Purchase,62,11-Jun-2023,Shree Saurashtra Biomass LLP,550727.1,Dr,stalk purchase,11-Jun-2023
BV00063,Purchase,63,03-Jul-2023,Jay Chudasama Agri Residue LLP,685545.4,Dr,husk purchase,03-Jul-2023
BV00064,Purchase,64,20-Jul-2023,Sardar Sabar Agri Residue LLP,671042.4,Dr,husk purchase,20-Jul-2023
BV00065,Purchase,65,10-Jul-2023,Dwarka Girnar Trading Company,668189.6,Dr,husk purchase,10-Jul-2023
BV00066,Purchase,66,14-Jul-2023,New Patel Agri Residue LLP,591514.8,Dr,husk purchase,14-Jul-2023
BV00067,Purchase,67,06-Jul-2023,New Gohil Biomass LLP,701941.5,Dr,husk purchase,06-Jul-2023
BV00068,Purchase,68,14-Jul-2023,Maa Kathiawad Biomass LLP,725500.0,Dr,husk purchase,14-Jul-2023
BV00069,Purchase,69,17-Jul-2023,Sardar Sabar Agri Residue LLP,643942.6,Dr,husk purchase,17-Jul-2023
BV00070,Purchase,70,04-Jul-2023,Jay Sabar Agri Residue LLP,663748.2,Dr,husk purchase,04-Jul-2023
BV00071,Purchase,71,11-Jul-2023,Sardar Sabar Agri Residue LLP,720137.6,Dr,husk purchase,11-Jul-2023
BV00072,Purchase,72,14-Jul-2023,Shree Saurashtra Biomass LLP,682116.3,Dr,husk purchase,14-Jul-2023
BV00073,Purchase,73,27-Jul-2023,Maa Solanki Krishi Udyog,642367.0,Dr,husk purchase,27-Jul-2023
BV00074,Purchase,74,24-Jul-2023,Sardar Bhadar Agro Traders,666063.0,Dr,husk purchase,24-Jul-2023
BV00075,Purchase,75,19-Jul-2023,Somnath Sabar Biofuels,575391.6,Dr,husk purchase,19-Jul-2023
BV00076,Purchase,76,11-Jul-2023,Om Chudasama Bioenergy,608295.3,Dr,husk purchase,11-Jul-2023
BV00077,Purchase,77,22-Jul-2023,Jay Sabar Agri Residue LLP,664283.5,Dr,husk purchase,22-Jul-2023
BV00078,Purchase,78,08-Jul-2023,Dwarka Desai Agri Residue LLP,551635.2,Dr,husk purchase,08-Jul-2023
BV00079,Purchase,79,16-Jul-2023,Sardar Sabar Agri Residue LLP,672900.8,Dr,husk purchase,16-Jul-2023
BV00080,Purchase,80,18-Jul-2023,Jay Chudasama Agri Residue LLP,634521.6,Dr,husk purchase,18-Jul-2023
BV00081,Purchase,81,03-Jul-2023,Om Bhal Trading Company,627908.6,Dr,stalk purchase,03-Jul-2023
BV00082,Purchase,82,02-Jul-2023,Om Sabar Bioenergy,500644.0,Dr,stalk purchase,02-Jul-2023
BV00083,Purchase,83,09-Jul-2023,Somnath Girnar Biofuels,521112.1,Dr,stalk purchase,09-Jul-2023
BV00084,Purchase,84,03-Jul-2023,Om Sabar Bioenergy,513375.0,Dr,stalk purchase,03-Jul-2023
BV00085,Purchase,85,15-Jul-2023,Jay Sabar Biofuels,589291.6,Dr,stalk purchase,15-Jul-2023
BV00086,Purchase,86,24-Jul-2023,New Gohil Biomass LLP,498020.0,Dr,stalk purchase,24-Jul-2023
BV00087,Purchase,87,15-Jul-2023,Somnath Girnar Biofuels,598217.4,Dr,stalk purchase,15-Jul-2023
BV00088,Purchase,88,11-Jul-2023,Shree Saurashtra Biomass LLP,559853.1,Dr,stalk purchase,11-Jul-2023
BV00089,Purchase,89,08-Jul-2023,Somnath Girnar Biofuels,593107.9,Dr,stalk purchase,08-Jul-2023
BV00090,Purchase,90,02-Jul-2023,Dwarka Desai Agri Residue LLP,2302930.2,Dr,pellets purchase,02-Jul-2023
BV00091,Purchase,91,03-Jul-2023,Jay Sabar Biofuels,2287142.1,Dr,pellets purchase,03-Jul-2023
BV00092,Purchase,92,02-Aug-2023,New Gohil Biomass LLP,854415.4,Dr,husk purchase,02-Aug-2023
BV00093,Purchase,93,14-Aug-2023,Somnath Sabar Biofuels,846440.7,Dr,husk purchase,14-Aug-2023
BV00094,Purchase,94,02-Aug-2023,Om Chudasama Bioenergy,943180.7,Dr,husk purchase,02-Aug-2023
BV00095,Purchase,95,16-Aug-2023,Somnath Sabar Biofuels,881519.1,Dr,husk purchase,16-Aug-2023
BV00096,Purchase,96,24-Aug-2023,Jay Chudasama Agri Residue LLP,890594.7,Dr,husk purchase,24-Aug-2023
BV00097,Purchase,97,15-Aug-2023,Maa Girnar Krishi Udyog,784792.2,Dr,husk purchase,15-Aug-2023
BV00098,Purchase,98,06-Aug-2023,Dwarka Gohil Pellet Works,858692.5,Dr,husk purchase,06-Aug-2023
BV00099,Purchase,99,10-Aug-2023,Somnath Bhadar Biomass LLP,774327.9,Dr,husk purchase,10-Aug-2023
BV00100,Purchase,100,11-Aug-2023,Shree Saurashtra Biomass LLP,913865.6,Dr,husk purchase,11-Aug-2023
BV00101,Purchase,101,14-Aug-2023,Somnath Sabar Biofuels,930037.7,Dr,husk purchase,14-Aug-2023
BV00102,Purchase,102,25-Aug-2023,Maa Girnar Krishi Udyog,902134.4,Dr,husk purchase,25-Aug-2023
BV00103,Purchase,103,05-Aug-2023,Jay Sabar Agri Residue LLP,693839.0,Dr,husk purchase,05-Aug-2023
BV00104,Purchase,104,27-Aug-2023,Shree Girnar Krishi Udyog,901471.5,Dr,husk purchase,27-Aug-2023
BV00105,Purchase,105,16-Aug-2023,Maa Kathiawad Biomass LLP,686065.7,Dr,husk purchase,16-Aug-2023
BV00106,Purchase,106,21-Aug-2023,Dwarka Desai Agri Residue LLP,717953.0,Dr,stalk purchase,21-Aug-2023
BV00107,Purchase,107,03-Aug-2023,Dwarka Ambaji Trading Company,736135.3,Dr,stalk purchase,03-Aug-2023
BV00108,Purchase,108,13-Aug-2023,Om Bhal Trading Company,761200.3,Dr,stalk purchase,13-Aug-2023
BV00109,Purchase,109,23-Aug-2023,Jay Sabar Biofuels,671328.0,Dr,stalk purchase,23-Aug-2023
BV00110,Purchase,110,06-Aug-2023,Jay Sabar Biofuels,768688.8,Dr,stalk purchase,06-Aug-2023
BV00111,Purchase,111,26-Aug-2023,Dwarka Desai Krishi Udyog,723963.9,Dr,stalk purchase,26-Aug-2023
BV00112,Purchase,112,18-Aug-2023,Jay Sabar Biofuels,587737.6,Dr,stalk purchase,18-Aug-2023
BV00113,Purchase,113,17-Aug-2023,Shree Saurashtra Biomass LLP,2360651.1,Dr,pellets purchase,17-Aug-2023
BV00114,Purchase,114,04-Aug-2023,Om Charotar Krishi Udyog,2346462.6,Dr,pellets purchase,04-Aug-2023
BV00115,Purchase,115,06-Sep-2023,Somnath Bhadar Biomass LLP,685731.6,Dr,husk purchase,06-Sep-2023
BV00116,Purchase,116,07-Sep-2023,Om Chudasama Bioenergy,775309.6,Dr,husk purchase,07-Sep-2023
BV00117,Purchase,117,27-Sep-2023,New Patel Agri Residue LLP,738952.2,Dr,husk purchase,27-Sep-2023
BV00118,Purchase,118,27-Sep-2023,Jay Chudasama Agri Residue LLP,690941.2,Dr,husk purchase,27-Sep-2023
BV00119,Purchase,119,23-Sep-2023,Sardar Sabar Agri Residue LLP,831168.0,Dr,husk purchase,23-Sep-2023
BV00120,Purchase,120,10-Sep-2023,Maa Kathiawad Biomass LLP,810407.8,Dr,husk purchase,10-Sep-2023
BV00121,Purchase,121,11-Sep-2023,Dwarka Desai Agri Residue LLP,721793.4,Dr,husk purchase,11-Sep-2023
BV00122,Purchase,122,10-Sep-2023,Jay Bhal Agri Residue LLP,799570.4,Dr,husk purchase,10-Sep-2023
BV00123,Purchase,123,14-Sep-2023,Jay Bhal Agri Residue LLP,915888.4,Dr,husk purchase,14-Sep-2023
BV00124,Purchase,124,15-Sep-2023,Maa Girnar Krishi Udyog,827491.7,Dr,husk purchase,15-Sep-2023
BV00125,Purchase,125,15-Sep-2023,Jay Chudasama Agri Residue LLP,773232.3,Dr,husk purchase,15-Sep-2023
BV00126,Purchase,126,25-Sep-2023,Shree Saurashtra Biomass LLP,768952.8,Dr,husk purchase,25-Sep-2023
BV00127,Purchase,127,09-Sep-2023,Maa Kathiawad Biomass LLP,843794.8,Dr,husk purchase,09-Sep-2023
BV00128,Purchase,128,25-Sep-2023,Jay Bhal Agri Residue LLP,770904.0,Dr,husk purchase,25-Sep-2023
BV00129,Purchase,129,15-Sep-2023,Shree Girnar Krishi Udyog,757982.2,Dr,husk purchase,15-Sep-2023
BV00130,Purchase,130,05-Sep-2023,Dwarka Desai Krishi Udyog,699093.0,Dr,stalk purchase,05-Sep-2023
BV00131,Purchase,131,14-Sep-2023,Jay Sabar Biofuels,659353.5,Dr,stalk purchase,14-Sep-2023
BV00132,Purchase,132,26-Sep-2023,Dwarka Ambaji Trading Company,706017.0,Dr,stalk purchase,26-Sep-2023
BV00133,Purchase,133,15-Sep-2023,Dwarka Desai Krishi Udyog,650734.5,Dr,stalk purchase,15-Sep-2023
BV00134,Purchase,134,06-Sep-2023,Om Bhal Trading Company,736500.0,Dr,stalk purchase,06-Sep-2023
BV00135,Purchase,135,16-Sep-2023,Somnath Girnar Biofuels,676252.8,Dr,stalk purchase,16-Sep-2023
BV00136,Purchase,136,14-Sep-2023,Om Sabar Bioenergy,812685.0,Dr,stalk purchase,14-Sep-2023
BV00137,Purchase,137,04-Sep-2023,Om Chudasama Trading Company,2110400.2,Dr,pellets purchase,04-Sep-2023
BV00138,Purchase,138,23-Sep-2023,Om Sabar Agro Exports,2057818.5,Dr,pellets purchase,23-Sep-2023
BV00139,Purchase,139,10-Oct-2023,Maa Kathiawad Biomass LLP,563962.4,Dr,husk purchase,10-Oct-2023
BV00140,Purchase,140,03-Oct-2023,Sardar Bhadar Agro Traders,656572.6,Dr,husk purchase,03-Oct-2023
BV00141,Purchase,141,26-Oct-2023,Dwarka Gohil Pellet Works,651867.0,Dr,husk purchase,26-Oct-2023
BV00142,Purchase,142,02-Oct-2023,Maa Kathiawad Biomass LLP,575422.4,Dr,husk purchase,02-Oct-2023
BV00143,Purchase,143,04-Oct-2023,Jay Chudasama Agri Residue LLP,601549.2,Dr,husk purchase,04-Oct-2023
BV00144,Purchase,144,19-Oct-2023,Jay Sabar Agri Residue LLP,592904.5,Dr,husk purchase,19-Oct-2023
BV00145,Purchase,145,17-Oct-2023,Sardar Bhadar Agro Traders,542421.8,Dr,husk purchase,17-Oct-2023
BV00146,Purchase,146,22-Oct-2023,Jay Bhal Agri Residue LLP,573569.6,Dr,husk purchase,12-Nov-2023
BV00147,Purchase,147,11-Oct-2023,Dwarka Desai Agri Residue LLP,527116.8,Dr,husk purchase,11-Oct-2023
BV00148,Purchase,148,09-Oct-2023,Shree Saurashtra Biomass LLP,655078.5,Dr,husk purchase,09-Oct-2023
BV00149,Purchase,149,11-Oct-2023,New Gohil Biomass LLP,654720.0,Dr,husk purchase,11-Oct-2023
BV00150,Purchase,150,11-Oct-2023,Somnath Bhadar Biomass LLP,621986.4,Dr,husk purchase,11-Oct-2023
BV00151,Purchase,151,05-Oct-2023,Jay Chudasama Agri Residue LLP,659436.8,Dr,husk purchase,05-Oct-2023
BV00152,Purchase,152,12-Oct-2023,Maa Girnar Krishi Udyog,536880.0,Dr,husk purchase,12-Oct-2023
BV00153,Purchase,153,22-Oct-2023,New Patel Agri Residue LLP,663897.0,Dr,husk purchase,12-Nov-2023
BV00154,Purchase,154,13-Oct-2023,Maa Girnar Krishi Udyog,563208.3,Dr,husk purchase,13-Oct-2023
BV00155,Purchase,155,24-Oct-2023,Somnath Sabar Biofuels,677469.0,Dr,husk purchase,24-Oct-2023
BV00156,Purchase,156,05-Oct-2023,Maa Girnar Krishi Udyog,623781.0,Dr,husk purchase,05-Oct-2023
BV00157,Purchase,157,14-Oct-2023,Shree Saurashtra Biomass LLP,585032.9,Dr,husk purchase,14-Oct-2023
BV00158,Purchase,158,21-Oct-2023,Om Chudasama Bioenergy,500631.6,Dr,husk purchase,21-Oct-2023
BV00159,Purchase,159,11-Oct-2023,Jay Sabar Agri Residue LLP,594794.7,Dr,husk purchase,11-Oct-2023
BV00160,Purchase,160,20-Oct-2023,Jay Sabar Biofuels,995918.0,Dr,stalk purchase,20-Oct-2023
BV00161,Purchase,161,18-Oct-2023,New Gohil Biomass LLP,960410.7,Dr,stalk purchase,18-Oct-2023
BV00162,Purchase,162,07-Oct-2023,Om Bhal Trading Company,896973.0,Dr,stalk purchase,07-Oct-2023
BV00163,Purchase,163,17-Oct-2023,Shree Saurashtra Biomass LLP,896795.9,Dr,stalk purchase,17-Oct-2023
BV00164,Purchase,164,16-Oct-2023,New Gohil Biomass LLP,866688.0,Dr,stalk purchase,16-Oct-2023
BV00165,Purchase,165,16-Oct-2023,New Gohil Biomass LLP,688469.6,Dr,stalk purchase,16-Oct-2023
BV00166,Purchase,166,18-Nov-2023,Jay Chudasama Agri Residue LLP,720079.5,Dr,husk purchase,18-Nov-2023
BV00167,Purchase,167,24-Nov-2023,Maa Kathiawad Biomass LLP,657840.1,Dr,husk purchase,24-Nov-2023
BV00168,Purchase,168,20-Nov-2023,New Gohil Biomass LLP,723890.5,Dr,husk purchase,20-Nov-2023
BV00169,Purchase,169,10-Nov-2023,Jay Sabar Biofuels,618531.6,Dr,husk purchase,10-Nov-2023
BV00170,Purchase,170,10-Nov-2023,Shree Saurashtra Biomass LLP,769185.3,Dr,husk purchase,10-Nov-2023
BV00171,Purchase,171,10-Nov-2023,Maa Girnar Krishi Udyog,703897.5,Dr,husk purchase,10-Nov-2023
BV00172,Purchase,172,06-Nov-2023,Jay Bhal Agri Residue LLP,800007.0,Dr,husk purchase,06-Nov-2023
BV00173,Purchase,173,17-Nov-2023,Somnath Bhadar Biomass LLP,813189.3,Dr,husk purchase,17-Nov-2023
BV00174,Purchase,174,26-Nov-2023,New Patel Agri Residue LLP,694090.0,Dr,husk purchase,26-Nov-2023
BV00175,Purchase,175,03-Nov-2023,Dwarka Desai Agri Residue LLP,658693.2,Dr,husk purchase,03-Nov-2023
BV00176,Purchase,176,23-Nov-2023,Maa Solanki Krishi Udyog,737112.9,Dr,husk purchase,23-Nov-2023
BV00177,Purchase,177,10-Nov-2023,Dwarka Gohil Pellet Works,805008.6,Dr,husk purchase,10-Nov-2023
BV00178,Purchase,178,04-Nov-2023,Shree Girnar Krishi Udyog,670140.0,Dr,husk purchase,04-Nov-2023
BV00179,Purchase,179,15-Nov-2023,Shree Saurashtra Biomass LLP,630020.0,Dr,husk purchase,15-Nov-2023
BV00180,Purchase,180,15-Nov-2023,New Gohil Biomass LLP,700462.7,Dr,husk purchase,15-Nov-2023
BV00181,Purchase,181,20-Nov-2023,Sardar Sabar Agri Residue LLP,700872.0,Dr,husk purchase,20-Nov-2023
BV00182,Purchase,182,17-Nov-2023,Om Chudasama Bioenergy,607178.0,Dr,husk purchase,17-Nov-2023
BV00183,Purchase,183,09-Nov-2023,Dwarka Desai Krishi Udyog,552526.5,Dr,stalk purchase,09-Nov-2023
BV00184,Purchase,184,18-Nov-2023,Dwarka Ambaji Trading Company,728857.0,Dr,stalk purchase,18-Nov-2023
BV00185,Purchase,185,16-Nov-2023,Jay Sabar Biofuels,659055.8,Dr,stalk purchase,16-Nov-2023
BV00186,Purchase,186,16-Nov-2023,Shree Saurashtra Biomass LLP,721716.9,Dr,stalk purchase,16-Nov-2023
BV00187,Purchase,187,09-Nov-2023,Jay Sabar Biofuels,616800.8,Dr,stalk purchase,09-Nov-2023
BV00188,Purchase,188,16-Nov-2023,Jay Sabar Biofuels,564980.5,Dr,stalk purchase,16-Nov-2023
BV00189,Purchase,189,21-Nov-2023,Dwarka Desai Krishi Udyog,526739.1,Dr,stalk purchase,21-Nov-2023
BV00190,Purchase,190,12-Nov-2023,Shree Saurashtra Biomass LLP,663135.6,Dr,stalk purchase,12-Nov-2023
BV00191,Purchase,191,15-Dec-2023,Shree Saurashtra Biomass LLP,647697.6,Dr,husk purchase,15-Dec-2023
BV00192,Purchase,192,13-Dec-2023,Dwarka Girnar Trading Company,627376.5,Dr,husk purchase,13-Dec-2023
BV00193,Purchase,193,27-Dec-2023,Jay Sabar Biofuels,712162.8,Dr,husk purchase,27-Dec-2023
BV00194,Purchase,194,05-Dec-2023,Jay Chudasama Agri Residue LLP,727036.8,Dr,husk purchase,05-Dec-2023
BV00195,Purchase,195,22-Dec-2023,Maa Girnar Krishi Udyog,633070.2,Dr,husk purchase,22-Dec-2023
BV00196,Purchase,196,08-Dec-2023,Om Chudasama Bioenergy,673986.6,Dr,husk purchase,08-Dec-2023
BV00197,Purchase,197,06-Dec-2023,Jay Chudasama Agri Residue LLP,656731.2,Dr,husk purchase,06-Dec-2023
BV00198,Purchase,198,23-Dec-2023,Jay Bhal Agri Residue LLP,609484.3,Dr,husk purchase,23-Dec-2023
BV00199,Purchase,199,26-Dec-2023,Dwarka Girnar Trading Company,613918.4,Dr,husk purchase,26-Dec-2023
BV00200,Purchase,200,23-Dec-2023,Shree Girnar Krishi Udyog,681462.3,Dr,husk purchase,23-Dec-2023
BV00201,Purchase,201,23-Dec-2023,Shree Saurashtra Biomass LLP,696380.2,Dr,husk purchase,23-Dec-2023
BV00202,Purchase,202,24-Dec-2023,Dwarka Girnar Trading Company,593983.6,Dr,husk purchase,24-Dec-2023
BV00203,Purchase,203,23-Dec-2023,Jay Sabar Biofuels,708246.0,Dr,husk purchase,23-Dec-2023
BV00204,Purchase,204,18-Dec-2023,New Patel Agri Residue LLP,619551.0,Dr,husk purchase,18-Dec-2023
BV00205,Purchase,205,07-Dec-2023,New Patel Agri Residue LLP,705245.4,Dr,husk purchase,07-Dec-2023
BV00206,Purchase,206,06-Dec-2023,Dwarka Gohil Pellet Works,565917.3,Dr,husk purchase,06-Dec-2023
BV00207,Purchase,207,12-Dec-2023,Shree Saurashtra Biomass LLP,637326.4,Dr,husk purchase,12-Dec-2023
BV00208,Purchase,208,09-Dec-2023,Maa Girnar Krishi Udyog,674162.4,Dr,husk purchase,09-Dec-2023
BV00209,Purchase,209,09-Dec-2023,Om Sabar Bioenergy,681461.0,Dr,stalk purchase,09-Dec-2023
BV00210,Purchase,210,15-Dec-2023,Dwarka Desai Krishi Udyog,543266.1,Dr,stalk purchase,15-Dec-2023
BV00211,Purchase,211,25-Dec-2023,Om Bhal Trading Company,645240.0,Dr,stalk purchase,25-Dec-2023
BV00212,Purchase,212,25-Dec-2023,Om Sabar Bioenergy,661519.1,Dr,stalk purchase,25-Dec-2023
BV00213,Purchase,213,15-Dec-2023,Dwarka Desai Agri Residue LLP,566950.0,Dr,stalk purchase,15-Dec-2023
BV00214,Purchase,214,06-Dec-2023,Shree Saurashtra Biomass LLP,633299.4,Dr,stalk purchase,06-Dec-2023
BV00215,Purchase,215,04-Dec-2023,Dwarka Ambaji Trading Company,636344.1,Dr,stalk purchase,04-Dec-2023
BV00216,Purchase,216,03-Dec-2023,Dwarka Desai Krishi Udyog,611202.0,Dr,stalk purchase,03-Dec-2023
BV00217,Purchase,217,02-Jan-2024,Sardar Sabar Agri Residue LLP,822563.5,Dr,husk purchase,02-Jan-2024
BV00218,Purchase,218,22-Jan-2024,Maa Girnar Krishi Udyog,835518.5,Dr,husk purchase,22-Jan-2024
BV00219,Purchase,219,11-Jan-2024,New Patel Agri Residue LLP,773769.6,Dr,husk purchase,11-Jan-2024
BV00220,Purchase,220,14-Jan-2024,Dwarka Girnar Trading Company,821960.1,Dr,husk purchase,14-Jan-2024
BV00221,Purchase,221,14-Jan-2024,Sardar Sabar Agri Residue LLP,901489.6,Dr,husk purchase,14-Jan-2024
BV00222,Purchase,222,07-Jan-2024,Maa Kathiawad Biomass LLP,813848.4,Dr,husk purchase,07-Jan-2024
BV00223,Purchase,223,15-Jan-2024,Shree Girnar Krishi Udyog,650899.6,Dr,husk purchase,15-Jan-2024
BV00224,Purchase,224,10-Jan-2024,Dwarka Desai Agri Residue LLP,777065.6,Dr,husk purchase,10-Jan-2024
BV00225,Purchase,225,04-Jan-2024,Om Chudasama Bioenergy,643632.0,Dr,husk purchase,04-Jan-2024
BV00226,Purchase,226,20-Jan-2024,Sardar Sabar Agri Residue LLP,754766.1,Dr,husk purchase,20-Jan-2024
BV00227,Purchase,227,05-Jan-2024,Jay Sabar Biofuels,734613.0,Dr,husk purchase,05-Jan-2024
BV00228,Purchase,228,08-Jan-2024,Dwarka Girnar Trading Company,728852.4,Dr,husk purchase,08-Jan-2024
BV00229,Purchase,229,10-Jan-2024,Maa Kathiawad Biomass LLP,909012.6,Dr,husk purchase,10-Jan-2024
