dispatch_no,dispatch_date,vehicle_no,grade_code,destination,tender_ref,qty_gross_t,qty_net_t,invoice_no
DR00162,2025-01-19,GJ10GA1881,PLT-C3,KUTCH,C-24-21,405.85,391.7,INV00162
DR00163,2025-01-05,GJ09GA3311,PLT-D4,MORBI CLUSTER,C-24-09,500.87,483.3,INV00163
DR00164,2025-01-06,GJ03GA1591,PLT-D4,ANKLESHWAR,C-24-13,423.11,408.3,INV00164
DR00165,2025-01-26,GJ26GA6609,PLT-D4,VAPI,C-24-17,553.45,533.3,INV00165
DR00166,2025-02-08,GJ18GA9492,PLT-C3,UKAI TPS,T-24-02,1493.46,1441.7,INV00166
DR00167,2025-02-26,GJ24GA1846,PLT-D4,SIKKA TPS,,993.7,970.2,INV00167
DR00168,2025-02-13,GJ27GA3314,PLT-D4,SIKKA TPS,T-24-06,963.72,929.8,INV00168
DR00169,2025-02-22,GJ25GA6808,PLT-C3,KUTCH,C-24-21,400.86,391.7,INV00169
DR00170,2025-02-20,GJ20GA1501,PLT-D4,MORBI CLUSTER,C-24-09,497.38,483.3,INV00170
DR00171,2025-02-04,GJ15GA6300,PLT-D4,ANKLESHWAR,,421.06,408.3,INV00171
DR00172,2025-02-10,GJ04GA4906,PLT-D4,VAPI,C-24-17,553.48,533.3,INV00172
DR00173,2025-03-27,GJ13GA2501,PLT-C3,UKAI TPS,T-24-02,1474.23,1441.7,INV00173
DR00174,2025-03-05,GJ23GA1892,PLT-D4,SIKKA TPS,T-24-06,1040.67,1003.7,INV00174
DR00175,2025-03-09,GJ14GA3354,PLT-D4,SIKKA TPS,T-24-06,914.35,896.3,
DR00176,2025-03-07,GJ01GA6087,PLT-C3,KUTCH,C-24-21,405.44,391.7,INV00176
DR00177,2025-03-16,GJ12GA9978,PLT-D4,MORBI CLUSTER,C-24-09,494.28,483.3,INV00177
DR00178,2025-03-17,GJ23GA6363,PLT-D4,ANKLESHWAR,C-24-13,423.24,408.3,INV00178
DR00179,2025-03-25,GJ05GA1144,PLT-D4,VAPI,C-24-17,547.86,533.3,INV00179
DR00180,2025-04-13,GJ22GA5206,PLT-D4,MORBI CLUSTER,,497.98,483.3,INV00180
DR00181,2025-04-21,GJ08GA3282,PLT-D4,ANKLESHWAR,C-24-13,423.53,408.3,INV00181
DR00182,2025-04-16,GJ19GA3619,PLT-D4,VAPI,C-24-17,544.96,533.3,INV00182
DR00183,2025-04-11,GJ11GA3403,PLT-D4,UKAI TPS,T-25-03,1487.92,1458.3,INV00183
DR00184,2025-04-12,GJ10GA4804,PLT-D4,KUTCH,C-25-22,632.19,608.3,INV00184
DR00185,2025-05-12,GJ08GA4687,PLT-D4,VAPI,C-24-17,554.59,533.3,INV00185
DR00186,2025-05-03,GJ01GA9895,PLT-D4,UKAI TPS,T-25-03,1514.79,1458.3,INV00186
DR00187,2025-05-03,GJ27GA9687,PLT-D4,KUTCH,C-25-22,623.47,608.3,INV00187
DR00188,2025-05-12,GJ01GA9657,PLT-D4,MORBI CLUSTER,C-25-10,549.62,533.3,INV00188
DR00189,2025-05-24,GJ08GA1812,PLT-C3,ANKLESHWAR,C-25-14,460.73,450.0,INV00189
DR00190,2025-06-19,GJ10GA4492,PLT-D4,VAPI,C-24-17,549.89,533.3,
DR00191,2025-06-27,GJ23GA2232,PLT-D4,UKAI TPS,T-25-03,761.41,735.7,INV00191
DR00192,2025-06-21,GJ10GA9194,PLT-D4,UKAI TPS,T-25-03,740.8,722.6,INV00192
DR00193,2025-06-11,GJ17GA4504,PLT-D4,KUTCH,,628.07,608.3,INV00193
DR00194,2025-06-24,GJ04GA8201,PLT-D4,MORBI CLUSTER,C-25-10,546.69,533.3,INV00194
DR00195,2025-06-19,GJ06GA1974,PLT-C3,ANKLESHWAR,C-25-14,464.52,450.0,INV00195
DR00196,2025-07-14,GJ14GA4802,PLT-D4,UKAI TPS,T-25-03,829.23,797.5,INV00196
DR00197,2025-07-25,GJ24GA5638,PLT-D4,UKAI TPS,T-25-03,685.18,660.8,INV00197
DR00198,2025-07-22,GJ19GA8472,PLT-D4,KUTCH,C-25-22,632.33,608.3,INV00198
DR00199,2025-07-24,GJ09GA3390,PLT-D4,MORBI CLUSTER,C-25-10,545.15,533.3,INV00199
DR00200,2025-07-15,GJ06GA7213,PLT-C3,ANKLESHWAR,C-25-14,464.96,450.0,INV00200
DR00201,2025-07-10,GJ01GA1154,PLT-D4,VAPI,C-25-18,536.15,525.0,INV00201
DR00202,2025-08-04,GJ05GA6412,PLT-D4,UKAI TPS,T-25-03,1488.59,1458.3,INV00202
DR00203,2025-08-02,GJ05GA9019,PLT-D4,KUTCH,C-25-22,629.77,608.3,INV00203
DR00204,2025-08-26,GJ27GA4725,PLT-D4,MORBI CLUSTER,C-25-10,544.63,533.3,INV00204
DR00205,2025-08-12,GJ23GA5665,PLT-C3,ANKLESHWAR,C-25-14,467.35,450.0,INV00205
DR00206,2025-08-10,GJ08GA5205,PLT-D4,VAPI,C-25-18,540.79,525.0,INV00206
DR00207,2025-09-21,GJ15GA7302,PLT-D4,UKAI TPS,T-25-03,1503.56,1458.3,INV00207
DR00208,2025-09-24,GJ02GA3289,PLT-D4,KUTCH,C-25-22,623.68,608.3,INV00208
DR00209,2025-09-02,GJ13GA2492,PLT-D4,MORBI CLUSTER,C-25-10,549.93,533.3,INV00209
DR00210,2025-09-22,GJ24GA5865,PLT-C3,ANKLESHWAR,C-25-14,459.16,450.0,INV00210
DR00211,2025-09-11,GJ12GA6066,PLT-D4,VAPI,C-25-18,537.72,525.0,INV00211
DR00212,2025-10-27,GJ01GA5272,PLT-D4,UKAI TPS,T-25-03,1490.99,1458.3,INV00212
DR00213,2025-10-02,GJ07GA5175,PLT-D4,KUTCH,C-25-22,621.96,608.3,INV00213
DR00214,2025-10-08,GJ01GA1615,PLT-D4,MORBI CLUSTER,C-25-10,550.55,533.3,
DR00215,2025-10-03,GJ19GA4109,PLT-C3,ANKLESHWAR,C-25-14,463.64,450.0,INV00215
DR00216,2025-10-13,GJ12GA7998,PLT-D4,VAPI,C-25-18,545.57,525.0,INV00216
DR00217,2025-11-11,GJ22GA8525,PLT-D4,UKAI TPS,T-25-03,1513.8,1458.3,INV00217
DR00218,2025-11-20,GJ19GA6888,PLT-D4,KUTCH,C-25-22,620.67,608.3,INV00218
DR00219,2025-11-07,GJ23GA1938,PLT-D4,MORBI CLUSTER,C-25-10,549.62,533.3,INV00219
DR00220,2025-11-07,GJ23GA2037,PLT-C3,ANKLESHWAR,C-25-14,463.06,450.0,INV00220
DR00221,2025-11-18,GJ22GA5967,PLT-D4,VAPI,C-25-18,542.89,525.0,INV00221
DR00222,2025-12-07,GJ20GA9963,PLT-D4,UKAI TPS,T-25-03,698.18,684.2,INV00222
DR00223,2025-12-07,GJ22GA5374,PLT-D4,UKAI TPS,,793.41,774.1,INV00223
DR00224,2025-12-09,GJ19GA9220,PLT-D4,KUTCH,C-25-22,629.98,608.3,INV00224
DR00225,2025-12-13,GJ14GA2730,PLT-D4,MORBI CLUSTER,C-25-10,553.53,533.3,INV00225
DR00226,2025-12-06,GJ24GA1568,PLT-C3,ANKLESHWAR,C-25-14,462.35,450.0,INV00226
DR00227,2025-12-20,GJ11GA9106,PLT-D4,VAPI,C-25-18,540.57,525.0,INV00227
DR00228,2026-01-27,GJ10GA9852,PLT-D4,UKAI TPS,T-25-03,805.76,783.4,INV00228
DR00229,2026-01-07,GJ12GA8635,PLT-D4,UKAI TPS,,691.24,674.9,INV00229
DR00230,2026-01-09,GJ25GA7372,PLT-D4,KUTCH,C-25-22,625.83,608.3,INV00230
DR00231,2026-01-05,GJ15GA2315,PLT-D4,MORBI CLUSTER,C-25-10,544.06,533.3,INV00231
DR00232,2026-01-07,GJ27GA6327,PLT-C3,ANKLESHWAR,C-25-14,463.27,450.0,INV00232
DR00233,2026-01-02,GJ16GA1979,PLT-D4,VAPI,C-25-18,536.91,525.0,INV00233
DR00234,2026-02-24,GJ13GA8554,PLT-D4,UKAI TPS,T-25-03,778.5,750.4,INV00234
DR00235,2026-02-10,GJ07GA5120,PLT-D4,UKAI TPS,T-25-03,722.07,707.9,INV00235
DR00236,2026-02-20,GJ03GA9817,PLT-D4,KUTCH,C-25-22,623.64,608.3,INV00236
DR00237,2026-02-18,GJ10GA6680,PLT-D4,MORBI CLUSTER,C-25-10,547.39,533.3,INV00237
DR00238,2026-02-24,GJ02GA9571,PLT-C3,ANKLESHWAR,C-25-14,459.05,450.0,INV00238
DR00239,2026-02-03,GJ17GA5849,PLT-D4,VAPI,C-25-18,536.63,525.0,INV00239
DR00240,2026-04-09,GJ20GA2077,PLT-D4,UKAI TPS,,782.93,764.4,INV00240
DR00241,2026-03-10,GJ25GA8461,PLT-D4,UKAI TPS,T-25-03,708.09,693.9,INV00241
DR00242,2026-04-06,GJ08GA9873,PLT-D4,KUTCH,,629.63,608.3,INV00242
DR00243,2026-03-21,GJ06GA6857,PLT-D4,MORBI CLUSTER,C-25-10,546.68,533.3,INV00243
DR00244,2026-03-10,GJ06GA3485,PLT-C3,ANKLESHWAR,,467.96,450.0,INV00244
DR00245,2026-03-10,GJ23GA7823,PLT-D4,VAPI,,538.74,525.0,INV00245
DR00246,2026-05-11,GJ26GA6304,PLT-D4,MORBI CLUSTER,,552.74,533.3,INV00246
DR00247,2026-05-13,GJ18GA4665,PLT-C3,ANKLESHWAR,,466.48,450.0,INV00247
DR00248,2026-04-22,GJ20GA2470,PLT-D4,VAPI,C-25-18,542.68,525.0,INV00248
DR00249,2026-04-18,GJ11GA5550,PLT-D4,UKAI TPS,T-26-04,742.99,715.1,INV00249
DR00250,2026-04-14,GJ19GA1136,PLT-D4,UKAI TPS,T-26-04,883.26,851.6,INV00250
DR00251,2026-04-14,GJ26GA7360,PLT-D4,SIKKA TPS,T-26-07,859.18,838.5,
DR00252,2026-04-06,GJ11GA7902,PLT-D4,SIKKA TPS,T-26-07,772.08,753.2,INV00252
DR00253,2026-04-19,GJ13GA8476,PLT-D4,KUTCH,C-26-23,476.17,466.7,INV00253
DR00254,2026-05-17,GJ27GA9082,PLT-D4,VAPI,C-25-18,542.82,525.0,INV00254
