guid,voucher_guid,stock_item_name,qty_qtl,rate
AV00225-1,AV00225,Rice Husk,2102.0,2113
AV00226-1,AV00226,Rice Husk,2668.0,2086
AV00227-1,AV00227,Rice Husk,2549.0,2105
AV00228-1,AV00228,Rice Husk,2292.0,2051
AV00229-1,AV00229,Rice Husk,2470.0,2103
AV00230-1,AV00230,Rice Husk,2308.0,2008
AV00231-1,AV00231,Rice Husk,2208.0,2102
AV00232-1,AV00232,Rice Husk,2422.0,2123
AV00233-1,AV00233,Rice Husk,2215.0,2104
AV00234-1,AV00234,Rice Husk,2403.0,2038
AV00235-1,AV00235,Rice Husk,2603.0,2087
AV00236-1,AV00236,Rice Husk,2747.0,2046
AV00237-1,AV00237,Rice Husk,2120.0,2120
AV00238-1,AV00238,Rice Husk,2230.0,2008
AV00239-1,AV00239,Rice Husk,2686.0,2109
AV00240-1,AV00240,Rice Husk,2819.0,2030
AV00241-1,AV00241,Rice Husk,2732.0,2117
AV00242-1,AV00242,Rice Husk,2290.0,2088
AV00243-1,AV00243,Rice Husk,2342.0,2077
AV00244-1,AV00244,Rice Husk,2336.0,2055
AV00245-1,AV00245,Rice Husk,2660.0,2033
AV00246-1,AV00246,Rice Husk,2507.0,2114
AV00247-1,AV00247,Rice Husk,2468.0,2106
AV00248-1,AV00248,Rice Husk,2314.0,2029
AV00249-1,AV00249,Rice Husk,2769.0,2098
AV00250-1,AV00250,Rice Husk,2224.0,2040
AV00251-1,AV00251,Rice Husk,2562.0,2087
AV00252-1,AV00252,Mustard Stalk,3432.0,2389
AV00253-1,AV00253,Mustard Stalk,4000.0,2396
AV00254-1,AV00254,Mustard Stalk,3125.0,2374
AV00255-1,AV00255,Mustard Stalk,3700.0,2400
AV00256-1,AV00256,Mustard Stalk,3650.0,2308
AV00257-1,AV00257,Mustard Stalk,3445.0,2378
AV00258-1,AV00258,Mustard Stalk,3695.0,2435
AV00259-1,AV00259,Mustard Stalk,3419.0,2446
AV00260-1,AV00260,Mustard Stalk,3498.0,2397
AV00261-1,AV00261,Mustard Stalk,3828.0,2371
AV00262-1,AV00262,Mustard Stalk,3811.0,2364
AV00263-1,AV00263,Mustard Stalk,3988.0,2410
AV00264-1,AV00264,Mustard Stalk,4041.0,2338
AV00265-1,AV00265,Mustard Stalk,3439.0,2396
AV00266-1,AV00266,Mustard Stalk,3901.0,2417
AV00267-1,AV00267,Mustard Stalk,3400.0,2309
AV00268-1,AV00268,Mustard Stalk,2834.0,2331
AV00269-1,AV00269,Mustard Stalk,3166.0,2414
AV00270-1,AV00270,Mustard Stalk,3845.0,2440
AV00271-1,AV00271,Rice Husk,2456.0,2143
AV00272-1,AV00272,Rice Husk,2498.0,2098
AV00273-1,AV00273,Rice Husk,2782.0,2185
AV00274-1,AV00274,Rice Husk,2761.0,2083
AV00275-1,AV00275,Rice Husk,3051.0,2139
AV00276-1,AV00276,Rice Husk,2867.0,2134
AV00277-1,AV00277,Rice Husk,2856.0,2087
AV00278-1,AV00278,Rice Husk,2736.0,2123
AV00279-1,AV00279,Rice Husk,2400.0,2153
AV00280-1,AV00280,Rice Husk,3100.0,2128
AV00281-1,AV00281,Rice Husk,2984.0,2159
AV00282-1,AV00282,Rice Husk,2629.0,2098
AV00283-1,AV00283,Rice Husk,2783.0,2202
AV00284-1,AV00284,Rice Husk,2782.0,2178
AV00285-1,AV00285,Rice Husk,2535.0,2092
AV00286-1,AV00286,Rice Husk,2736.0,2117
AV00287-1,AV00287,Rice Husk,2997.0,2091
AV00288-1,AV00288,Rice Husk,2425.0,2160
AV00289-1,AV00289,Rice Husk,2631.0,2201
AV00290-1,AV00290,Rice Husk,2519.0,2135
AV00291-1,AV00291,Rice Husk,2769.0,2170
AV00292-1,AV00292,Rice Husk,2624.0,2091
AV00293-1,AV00293,Rice Husk,2847.0,2085
AV00294-1,AV00294,Rice Husk,2806.0,2193
AV00295-1,AV00295,Rice Husk,2443.0,2178
AV00296-1,AV00296,Rice Husk,3239.0,2171
AV00297-1,AV00297,Rice Husk,2721.0,2093
AV00298-1,AV00298,Rice Husk,3127.0,2189
AV00299-1,AV00299,Rice Husk,2857.0,2089
AV00300-1,AV00300,Rice Husk,2574.0,2153
AV00301-1,AV00301,Rice Husk,2864.0,2104
AV00302-1,AV00302,Rice Husk,2479.0,2084
AV00303-1,AV00303,Rice Husk,2877.0,2186
AV00304-1,AV00304,Rice Husk,3089.0,2149
AV00305-1,AV00305,Rice Husk,3037.0,2163
AV00306-1,AV00306,Rice Husk,3162.0,2161
AV00307-1,AV00307,Rice Husk,2824.0,2101
AV00308-1,AV00308,Rice Husk,2452.0,2123
AV00309-1,AV00309,Rice Husk,3080.0,2123
AV00310-1,AV00310,Rice Husk,2913.0,2098
AV00311-1,AV00311,Rice Husk,2703.0,2137
AV00312-1,AV00312,Rice Husk,3154.0,2178
AV00313-1,AV00313,Rice Husk,2804.0,2081
AV00314-1,AV00314,Rice Husk,2757.0,2145
AV00315-1,AV00315,Rice Husk,2397.0,2144
AV00316-1,AV00316,Rice Husk,2623.0,2158
AV00317-1,AV00317,Rice Husk,2528.0,2156
AV00318-1,AV00318,Rice Husk,3184.0,2107
AV00319-1,AV00319,Rice Husk,2906.0,2202
AV00320-1,AV00320,Rice Husk,2908.0,2186
AV00321-1,AV00321,Rice Husk,2465.0,2205
AV00322-1,AV00322,Rice Husk,2809.0,2094
AV00323-1,AV00323,Rice Husk,3158.0,2154
AV00324-1,AV00324,Rice Husk,2958.0,2100
AV00325-1,AV00325,Rice Husk,2950.0,2097
AV00326-1,AV00326,Rice Husk,2336.0,2135
AV00327-1,AV00327,Rice Husk,2782.0,2187
AV00328-1,AV00328,Mustard Stalk,3172.0,2495
AV00329-1,AV00329,Mustard Stalk,2423.0,2513
AV00330-1,AV00330,Mustard Stalk,2659.0,2495
AV00331-1,AV00331,Mustard Stalk,3208.0,2393
AV00332-1,AV00332,Mustard Stalk,2537.0,2398
AV00333-1,AV00333,Mustard Stalk,2816.0,2465
AV00334-1,AV00334,Mustard Stalk,3046.0,2405
AV00335-1,AV00335,Mustard Stalk,2756.0,2478
AV00336-1,AV00336,Mustard Stalk,2994.0,2458
AV00337-1,AV00337,Mustard Stalk,2380.0,2467
AV00338-1,AV00338,Mustard Stalk,2667.0,2441
AV00339-1,AV00339,Mustard Stalk,2723.0,2446
AV00340-1,AV00340,Mustard Stalk,2946.0,2514
AV00341-1,AV00341,Mustard Stalk,2626.0,2492
AV00342-1,AV00342,Mustard Stalk,2605.0,2478
AV00343-1,AV00343,Mustard Stalk,3062.0,2405
AV00344-1,AV00344,Mustard Stalk,3111.0,2418
AV00345-1,AV00345,Mustard Stalk,2439.0,2475
AV00346-1,AV00346,Mustard Stalk,3155.0,2522
AV00347-1,AV00347,Mustard Stalk,3086.0,2428
AV00348-1,AV00348,Mustard Stalk,2446.0,2490
AV00349-1,AV00349,Mustard Stalk,2873.0,2399
AV00350-1,AV00350,Pellets,10596.0,7156
AV00351-1,AV00351,Pellets,10596.0,7239
AV00352-1,AV00352,Rice Husk,3745.0,2215
AV00353-1,AV00353,Rice Husk,3258.0,2163
AV00354-1,AV00354,Rice Husk,3378.0,2252
AV00355-1,AV00355,Rice Husk,3542.0,2238
AV00356-1,AV00356,Rice Husk,3377.0,2238
AV00357-1,AV00357,Rice Husk,3984.0,2177
AV00358-1,AV00358,Rice Husk,3164.0,2141
AV00359-1,AV00359,Rice Husk,3974.0,2250
AV00360-1,AV00360,Rice Husk,3397.0,2161
AV00361-1,AV00361,Rice Husk,3651.0,2176
AV00362-1,AV00362,Rice Husk,4091.0,2200
AV00363-1,AV00363,Rice Husk,3606.0,2200
AV00364-1,AV00364,Rice Husk,3444.0,2160
AV00365-1,AV00365,Rice Husk,3980.0,2223
AV00366-1,AV00366,Rice Husk,4190.0,2154
AV00367-1,AV00367,Rice Husk,3402.0,2226
AV00368-1,AV00368,Rice Husk,3162.0,2164
AV00369-1,AV00369,Rice Husk,4101.0,2151
AV00370-1,AV00370,Rice Husk,3484.0,2265
AV00371-1,AV00371,Rice Husk,4196.0,2195
AV00372-1,AV00372,Rice Husk,3953.0,2143
AV00373-1,AV00373,Rice Husk,3494.0,2207
AV00374-1,AV00374,Rice Husk,3350.0,2236
AV00375-1,AV00375,Rice Husk,4135.0,2242
AV00376-1,AV00376,Rice Husk,4106.0,2145
AV00377-1,AV00377,Rice Husk,3184.0,2138
AV00378-1,AV00378,Rice Husk,3655.0,2208
AV00379-1,AV00379,Rice Husk,3582.0,2225
AV00380-1,AV00380,Rice Husk,3736.0,2216
AV00381-1,AV00381,Rice Husk,3570.0,2180
AV00382-1,AV00382,Rice Husk,3423.0,2227
AV00383-1,AV00383,Rice Husk,3152.0,2185
AV00384-1,AV00384,Rice Husk,4191.0,2153
AV00385-1,AV00385,Rice Husk,3268.0,2206
AV00386-1,AV00386,Rice Husk,3824.0,2260
AV00387-1,AV00387,Rice Husk,3117.0,2142
AV00388-1,AV00388,Rice Husk,3679.0,2166
AV00389-1,AV00389,Rice Husk,3595.0,2257
AV00390-1,AV00390,Rice Husk,3358.0,2227
AV00391-1,AV00391,Rice Husk,3466.0,2196
AV00392-1,AV00392,Rice Husk,4248.0,2226
AV00393-1,AV00393,Rice Husk,3370.0,2178
AV00394-1,AV00394,Rice Husk,3795.0,2155
AV00395-1,AV00395,Rice Husk,4134.0,2225
AV00396-1,AV00396,Mustard Stalk,1984.0,2562
AV00397-1,AV00397,Mustard Stalk,2107.0,2583
AV00398-1,AV00398,Mustard Stalk,2237.0,2555
AV00399-1,AV00399,Mustard Stalk,1976.0,2480
AV00400-1,AV00400,Mustard Stalk,2267.0,2585
AV00401-1,AV00401,Mustard Stalk,2249.0,2493
AV00402-1,AV00402,Mustard Stalk,2177.0,2488
AV00403-1,AV00403,Mustard Stalk,2213.0,2553
AV00404-1,AV00404,Mustard Stalk,2071.0,2488
AV00405-1,AV00405,Mustard Stalk,1784.0,2580
AV00406-1,AV00406,Mustard Stalk,2189.0,2476
AV00407-1,AV00407,Mustard Stalk,1858.0,2507
AV00408-1,AV00408,Mustard Stalk,2121.0,2568
AV00409-1,AV00409,Mustard Stalk,1822.0,2586
AV00410-1,AV00410,Mustard Stalk,2064.0,2501
AV00411-1,AV00411,Mustard Stalk,1995.0,2463
AV00412-1,AV00412,Mustard Stalk,1829.0,2603
AV00413-1,AV00413,Mustard Stalk,1891.0,2463
AV00414-1,AV00414,Mustard Stalk,1692.0,2476
AV00415-1,AV00415,Mustard Stalk,2031.0,2487
AV00416-1,AV00416,Mustard Stalk,1837.0,2590
AV00417-1,AV00417,Mustard Stalk,1751.0,2524
AV00418-1,AV00418,Mustard Stalk,2100.0,2522
AV00419-1,AV00419,Mustard Stalk,2241.0,2494
AV00420-1,AV00420,Mustard Stalk,1982.0,2563
AV00421-1,AV00421,Mustard Stalk,2262.0,2603
AV00422-1,AV00422,Mustard Stalk,1742.0,2495
AV00423-1,AV00423,Mustard Stalk,1896.0,2492
AV00424-1,AV00424,Mustard Stalk,1763.0,2547
AV00425-1,AV00425,Mustard Stalk,2086.0,2585
AV00426-1,AV00426,Mustard Stalk,2204.0,2463
AV00427-1,AV00427,Pellets,20458.0,7217
AV00428-1,AV00428,Rice Husk,2677.0,2293
AV00429-1,AV00429,Rice Husk,2785.0,2296
AV00430-1,AV00430,Rice Husk,2579.0,2317
AV00431-1,AV00431,Rice Husk,3284.0,2300
AV00432-1,AV00432,Rice Husk,3216.0,2299
AV00433-1,AV00433,Rice Husk,2815.0,2286
AV00434-1,AV00434,Rice Husk,2646.0,2303
AV00435-1,AV00435,Rice Husk,2622.0,2272
AV00436-1,AV00436,Rice Husk,3130.0,2246
AV00437-1,AV00437,Rice Husk,2847.0,2252
AV00438-1,AV00438,Rice Husk,3142.0,2324
AV00439-1,AV00439,Rice Husk,3192.0,2321
AV00440-1,AV00440,Rice Husk,3098.0,2256
AV00441-1,AV00441,Rice Husk,2507.0,2230
AV00442-1,AV00442,Rice Husk,2726.0,2312
AV00443-1,AV00443,Rice Husk,2763.0,2271
AV00444-1,AV00444,Rice Husk,3028.0,2250
AV00445-1,AV00445,Rice Husk,3009.0,2266
AV00446-1,AV00446,Rice Husk,3094.0,2248
AV00447-1,AV00447,Rice Husk,2851.0,2226
AV00448-1,AV00448,Rice Husk,2526.0,2196
AV00449-1,AV00449,Rice Husk,3191.0,2205
AV00450-1,AV00450,Rice Husk,3185.0,2290
AV00451-1,AV00451,Rice Husk,3034.0,2281
AV00452-1,AV00452,Rice Husk,3073.0,2216
AV00453-1,AV00453,Rice Husk,3004.0,2242
AV00454-1,AV00454,Rice Husk,2523.0,2315
AV00455-1,AV00455,Rice Husk,2840.0,2215
AV00456-1,AV00456,Rice Husk,2540.0,2292
AV00457-1,AV00457,Rice Husk,2843.0,2228
AV00458-1,AV00458,Rice Husk,2779.0,2328
AV00459-1,AV00459,Rice Husk,2777.0,2312
AV00460-1,AV00460,Rice Husk,3137.0,2316
AV00461-1,AV00461,Rice Husk,2956.0,2276
AV00462-1,AV00462,Rice Husk,3074.0,2300
AV00463-1,AV00463,Rice Husk,2838.0,2258
AV00464-1,AV00464,Rice Husk,2909.0,2230
AV00465-1,AV00465,Rice Husk,2929.0,2329
AV00466-1,AV00466,Rice Husk,2788.0,2200
AV00467-1,AV00467,Rice Husk,3092.0,2267
AV00468-1,AV00468,Rice Husk,3058.0,2202
AV00469-1,AV00469,Rice Husk,2525.0,2285
AV00470-1,AV00470,Rice Husk,3205.0,2261
AV00471-1,AV00471,Rice Husk,3187.0,2241
AV00472-1,AV00472,Rice Husk,2671.0,2318
AV00473-1,AV00473,Rice Husk,3122.0,2285
AV00474-1,AV00474,Rice Husk,3292.0,2284
AV00475-1,AV00475,Rice Husk,3022.0,2246
AV00476-1,AV00476,Rice Husk,3099.0,2216
AV00477-1,AV00477,Rice Husk,2522.0,2287
AV00478-1,AV00478,Rice Husk,2957.0,2220
AV00479-1,AV00479,Rice Husk,2549.0,2210
AV00480-1,AV00480,Rice Husk,2565.0,2287
AV00481-1,AV00481,Rice Husk,2776.0,2296
AV00482-1,AV00482,Rice Husk,3273.0,2274
AV00483-1,AV00483,Mustard Stalk,4015.0,2591
AV00484-1,AV00484,Mustard Stalk,3521.0,2611
AV00485-1,AV00485,Mustard Stalk,3517.0,2638
AV00486-1,AV00486,Mustard Stalk,4061.0,2531
AV00487-1,AV00487,Mustard Stalk,3295.0,2530
AV00488-1,AV00488,Mustard Stalk,3957.0,2647
AV00489-1,AV00489,Mustard Stalk,3449.0,2657
AV00490-1,AV00490,Mustard Stalk,3508.0,2649
AV00491-1,AV00491,Mustard Stalk,3167.0,2648
AV00492-1,AV00492,Mustard Stalk,3820.0,2675
AV00493-1,AV00493,Mustard Stalk,3205.0,2569
AV00494-1,AV00494,Mustard Stalk,3216.0,2634
AV00495-1,AV00495,Mustard Stalk,3477.0,2592
AV00496-1,AV00496,Mustard Stalk,3440.0,2676
AV00497-1,AV00497,Mustard Stalk,3641.0,2671
AV00498-1,AV00498,Mustard Stalk,4398.0,2619
AV00499-1,AV00499,Mustard Stalk,4485.0,2674
AV00500-1,AV00500,Pellets,10440.0,7456
AV00501-1,AV00501,Pellets,10441.0,7256
AV00502-1,AV00502,Rice Husk,2253.0,2288
AV00503-1,AV00503,Rice Husk,1824.0,2283
AV00504-1,AV00504,Rice Husk,2306.0,2317
AV00505-1,AV00505,Rice Husk,1781.0,2233
AV00506-1,AV00506,Rice Husk,1735.0,2277
