dispatch_no,dispatch_date,vehicle_no,grade_code,destination,tender_ref,qty_gross_t,qty_net_t,invoice_no
DR00124,2023-11-03,RJ11GA8588,PLT-B2,NTPC KORBA,T-23-05,1043.33,1009.9,INV00124
DR00125,2023-11-08,RJ09GA8520,PLT-A1,NTPC MOUDA,T-23-09,1008.9,973.3,INV00125
DR00126,2023-11-17,RJ10GA9449,PLT-A1,NTPC MOUDA,T-23-09,1073.36,1043.4,INV00126
DR00127,2023-11-19,RJ01GA7040,PLT-T1,NTPC NORTH KARANPURA,T-23-13,2061.29,2016.7,INV00127
DR00128,2023-11-11,RJ16GA1912,PLT-T1,NTPC DARLIPALI,T-23-17,1006.28,984.4,INV00128
DR00129,2023-11-06,RJ06GA9343,PLT-T1,NTPC DARLIPALI,T-23-17,1139.43,1115.6,INV00129
DR00130,2023-11-24,RJ19GA6426,PLT-B2,NTPC LARA,T-23-21,1846.1,1808.3,INV00130
DR00131,2023-11-07,RJ02GA3670,PLT-T1,NTPC GADARWARA,T-23-24,997.99,977.1,INV00131
DR00132,2023-11-15,RJ16GA6354,PLT-T1,NTPC GADARWARA,T-23-24,994.15,972.9,INV00132
DR00133,2023-11-19,RJ11GA4392,PLT-B2,SURATGARH STPS,,924.15,900.4,INV00133
DR00134,2023-11-04,RJ14GA8324,PLT-B2,SURATGARH STPS,T-23-27,836.75,807.9,INV00134
DR00135,2023-11-22,RJ24GA2780,PLT-B2,JAIPUR BOTTLING,C-23-35,527.81,508.3,INV00135
DR00136,2023-11-05,RJ02GA1512,PLT-T1,NAGAUR CEMENT,C-23-31,640.5,616.7,INV00136
DR00137,2023-11-08,RJ10GA3808,PLT-A1,BHILWARA PAPER,,515.33,500.0,INV00137
DR00138,2023-12-02,RJ19GA5338,PLT-B2,NTPC SIPAT,T-23-01,973.39,948.6,INV00138
DR00139,2023-12-04,RJ24GA1966,PLT-B2,NTPC SIPAT,,1048.6,1018.1,INV00139
DR00140,2023-12-07,RJ23GA6193,PLT-B2,KOTA TEXTILE,C-23-42,631.62,608.3,INV00140
DR00141,2023-12-17,RJ25GA4696,PLT-B2,NTPC KORBA,T-23-05,1021.26,987.1,INV00141
DR00142,2023-12-19,RJ11GA5674,PLT-B2,NTPC KORBA,,1156.23,1121.2,INV00142
DR00143,2023-12-12,RJ19GA8456,PLT-A1,NTPC MOUDA,T-23-09,948.56,920.3,INV00143
DR00144,2023-12-05,RJ09GA6867,PLT-A1,NTPC MOUDA,T-23-09,1128.42,1096.4,INV00144
DR00145,2023-12-08,RJ27GA7958,PLT-T1,NTPC NORTH KARANPURA,T-23-13,1102.02,1072.2,INV00145
DR00146,2023-12-22,RJ22GA6794,PLT-T1,NTPC NORTH KARANPURA,,976.44,944.5,INV00146
DR00147,2023-12-10,RJ09GA2072,PLT-T1,NTPC DARLIPALI,T-23-17,1012.29,976.6,INV00147
DR00148,2023-12-26,RJ20GA3041,PLT-T1,NTPC DARLIPALI,T-23-17,1159.02,1123.4,INV00148
DR00149,2023-12-15,RJ08GA9494,PLT-B2,NTPC LARA,T-23-21,1846.99,1808.3,INV00149
DR00150,2023-12-19,RJ04GA1692,PLT-T1,NTPC GADARWARA,T-23-24,982.54,953.7,INV00150
DR00151,2023-12-12,RJ24GA1196,PLT-T1,NTPC GADARWARA,T-23-24,1025.75,996.3,INV00151
DR00152,2023-12-07,RJ27GA3462,PLT-B2,SURATGARH STPS,T-23-27,1743.3,1708.3,INV00152
DR00153,2023-12-08,RJ05GA9928,PLT-B2,JAIPUR BOTTLING,C-23-35,518.52,508.3,INV00153
DR00154,2023-12-20,RJ10GA6028,PLT-T1,NAGAUR CEMENT,C-23-31,635.02,616.7,INV00154
DR00155,2023-12-24,RJ13GA4100,PLT-A1,BHILWARA PAPER,C-23-39,510.21,500.0,INV00155
DR00156,2024-01-21,RJ10GA8147,PLT-B2,NTPC SIPAT,,1100.16,1064.8,INV00156
DR00157,2024-01-09,RJ16GA5202,PLT-B2,NTPC SIPAT,T-23-01,925.05,901.9,INV00157
DR00158,2024-01-07,RJ17GA6333,PLT-B2,KOTA TEXTILE,,626.44,608.3,INV00158
DR00159,2024-01-22,RJ24GA9904,PLT-B2,NTPC KORBA,T-23-05,1076.47,1050.3,INV00159
DR00160,2024-01-25,RJ08GA7063,PLT-B2,NTPC KORBA,T-23-05,1080.04,1058.0,INV00160
DR00161,2024-01-12,RJ15GA4954,PLT-A1,NTPC MOUDA,T-23-09,957.73,927.6,INV00161
DR00162,2024-01-06,RJ16GA1637,PLT-A1,NTPC MOUDA,T-23-09,1126.47,1089.1,INV00162
DR00163,2024-01-02,RJ19GA5037,PLT-T1,NTPC NORTH KARANPURA,T-23-13,1092.38,1059.5,INV00163
DR00164,2024-01-24,RJ02GA3333,PLT-T1,NTPC NORTH KARANPURA,T-23-13,979.2,957.2,INV00164
DR00165,2024-01-25,RJ07GA2218,PLT-T1,NTPC DARLIPALI,T-23-17,2164.84,2100.0,INV00165
DR00166,2024-01-16,RJ25GA9221,PLT-B2,NTPC LARA,T-23-21,1878.05,1808.3,INV00166
DR00167,2024-01-02,RJ11GA5695,PLT-T1,NTPC GADARWARA,T-23-24,918.75,895.4,INV00167
DR00168,2024-01-14,RJ19GA4994,PLT-T1,NTPC GADARWARA,T-23-24,1080.38,1054.6,INV00168
DR00169,2024-01-08,RJ03GA4154,PLT-B2,SURATGARH STPS,T-23-27,1762.91,1708.3,INV00169
DR00170,2024-01-11,RJ03GA9033,PLT-B2,JAIPUR BOTTLING,C-23-35,519.25,508.3,INV00170
DR00171,2024-01-06,RJ12GA2468,PLT-T1,NAGAUR CEMENT,C-23-31,640.93,616.7,INV00171
DR00172,2024-01-27,RJ24GA6475,PLT-A1,BHILWARA PAPER,C-23-39,510.18,500.0,INV00172
DR00173,2024-02-16,RJ02GA4021,PLT-B2,NTPC SIPAT,T-23-01,1027.27,990.9,INV00173
DR00174,2024-02-21,RJ11GA2496,PLT-B2,NTPC SIPAT,T-23-01,996.82,975.8,INV00174
DR00175,2024-02-07,RJ27GA1869,PLT-B2,KOTA TEXTILE,,627.95,608.3,INV00175
DR00176,2024-02-14,RJ10GA1403,PLT-B2,NTPC KORBA,T-23-05,983.64,963.0,INV00176
DR00177,2024-02-26,RJ08GA7481,PLT-B2,NTPC KORBA,T-23-05,1180.06,1145.3,INV00177
DR00178,2024-02-13,RJ20GA1338,PLT-A1,NTPC MOUDA,T-23-09,979.9,950.7,INV00178
DR00179,2024-02-12,RJ06GA9351,PLT-A1,NTPC MOUDA,T-23-09,1095.74,1066.0,INV00179
DR00180,2024-02-10,RJ10GA5574,PLT-T1,NTPC NORTH KARANPURA,T-23-13,959.26,923.1,INV00180
DR00181,2024-02-23,RJ25GA3126,PLT-T1,NTPC NORTH KARANPURA,T-23-13,1123.56,1093.6,INV00181
DR00182,2024-02-25,RJ26GA3774,PLT-T1,NTPC DARLIPALI,T-23-17,1119.17,1091.0,INV00182
DR00183,2024-02-14,RJ11GA5642,PLT-T1,NTPC DARLIPALI,T-23-17,1032.26,1009.0,INV00183
DR00184,2024-02-03,RJ08GA6646,PLT-B2,NTPC LARA,T-23-21,1857.3,1808.3,INV00184
DR00185,2024-02-03,RJ26GA5824,PLT-T1,NTPC GADARWARA,T-23-24,1997.32,1950.0,INV00185
DR00186,2024-02-12,RJ22GA7616,PLT-B2,SURATGARH STPS,T-23-27,1770.45,1708.3,INV00186
DR00187,2024-02-24,RJ25GA2589,PLT-B2,JAIPUR BOTTLING,,523.99,508.3,INV00187
DR00188,2024-02-19,RJ20GA8506,PLT-T1,NAGAUR CEMENT,C-23-31,629.83,616.7,INV00188
DR00189,2024-02-19,RJ26GA8540,PLT-A1,BHILWARA PAPER,,517.66,500.0,INV00189
DR00190,2024-03-02,RJ17GA7291,PLT-B2,NTPC SIPAT,T-23-01,1105.51,1070.1,INV00190
DR00191,2024-03-15,RJ24GA9645,PLT-B2,NTPC SIPAT,,925.51,896.6,INV00191
DR00192,2024-03-19,RJ16GA3173,PLT-B2,KOTA TEXTILE,C-23-42,628.08,608.3,INV00192
DR00193,2024-03-16,RJ22GA4163,PLT-B2,NTPC KORBA,T-23-05,1090.17,1054.5,INV00193
DR00194,2024-03-15,RJ02GA3981,PLT-B2,NTPC KORBA,T-23-05,1092.95,1053.8,INV00194
DR00195,2024-03-22,RJ19GA9278,PLT-A1,NTPC MOUDA,T-23-09,2062.59,2016.7,INV00195
DR00196,2024-03-18,RJ05GA1967,PLT-T1,NTPC NORTH KARANPURA,,2057.6,2016.7,INV00196
DR00197,2024-03-26,RJ26GA3629,PLT-T1,NTPC DARLIPALI,T-23-17,1093.6,1054.7,INV00197
DR00198,2024-03-26,RJ19GA7468,PLT-T1,NTPC DARLIPALI,T-23-17,1069.62,1045.3,INV00198
DR00199,2024-03-26,RJ16GA5150,PLT-B2,NTPC LARA,T-23-21,1864.2,1808.3,INV00199
DR00200,2024-03-03,RJ21GA2948,PLT-T1,NTPC GADARWARA,T-23-24,1997.05,1950.0,INV00200
DR00201,2024-03-06,RJ03GA7749,PLT-B2,SURATGARH STPS,T-23-27,959.39,932.0,INV00201
DR00202,2024-03-26,RJ01GA9799,PLT-B2,SURATGARH STPS,T-23-27,796.63,776.3,INV00202
DR00203,2024-03-12,RJ06GA7721,PLT-B2,JAIPUR BOTTLING,C-23-35,523.64,508.3,INV00203
DR00204,2024-03-10,RJ25GA2635,PLT-T1,NAGAUR CEMENT,C-23-31,630.89,616.7,INV00204
DR00205,2024-03-21,RJ17GA6435,PLT-A1,BHILWARA PAPER,,517.32,500.0,INV00205
DR00206,2024-04-24,RJ06GA6193,PLT-B2,JAIPUR BOTTLING,C-23-35,528.22,508.3,INV00206
DR00207,2024-04-02,RJ08GA3858,PLT-T1,NAGAUR CEMENT,C-23-31,638.06,616.7,INV00207
DR00208,2024-04-22,RJ19GA1709,PLT-A1,BHILWARA PAPER,C-23-39,515.81,500.0,INV00208
DR00209,2024-04-22,RJ12GA6504,PLT-A1,NTPC SIPAT,,1069.41,1031.7,INV00209
DR00210,2024-04-24,RJ12GA4515,PLT-A1,NTPC SIPAT,T-24-02,1162.81,1118.3,INV00210
DR00211,2024-04-07,RJ11GA1084,PLT-B2,KOTA TEXTILE,C-24-43,501.85,491.7,INV00211
DR00212,2024-04-11,RJ10GA5492,PLT-B2,NTPC KORBA,T-24-06,1135.24,1102.8,INV00212
DR00213,2024-04-06,RJ19GA5045,PLT-B2,NTPC KORBA,,944.19,913.9,INV00213
DR00214,2024-04-13,RJ11GA7389,PLT-T1,NTPC MOUDA,T-24-10,902.53,872.1,INV00214
DR00215,2024-04-17,RJ20GA2533,PLT-T1,NTPC MOUDA,T-24-10,1027.48,1002.9,INV00215
DR00216,2024-04-11,RJ24GA6381,PLT-A1,NTPC NORTH KARANPURA,T-24-14,961.51,937.9,INV00216
DR00217,2024-04-07,RJ12GA9188,PLT-A1,NTPC NORTH KARANPURA,T-24-14,932.02,903.8,INV00217
DR00218,2024-04-20,RJ23GA9010,PLT-A1,NTPC DARLIPALI,T-24-18,1091.4,1057.3,INV00218
DR00219,2024-04-21,RJ13GA9606,PLT-A1,NTPC DARLIPALI,T-24-18,917.72,884.4,INV00219
DR00220,2024-04-10,RJ04GA9390,PLT-B2,NTPC GADARWARA,T-24-25,1859.11,1791.7,INV00220
DR00221,2024-04-11,RJ19GA6901,PLT-T1,SURATGARH STPS,T-24-28,1813.0,1758.3,INV00221
DR00222,2024-05-21,RJ05GA5143,PLT-B2,JAIPUR BOTTLING,C-23-35,524.59,508.3,INV00222
DR00223,2024-05-09,RJ17GA6334,PLT-T1,NAGAUR CEMENT,C-23-31,639.53,616.7,INV00223
DR00224,2024-05-07,RJ04GA9706,PLT-A1,BHILWARA PAPER,C-23-39,511.63,500.0,INV00224
DR00225,2024-05-13,RJ11GA3205,PLT-A1,NTPC SIPAT,T-24-02,1063.43,1030.5,INV00225
DR00226,2024-05-23,RJ05GA3984,PLT-A1,NTPC SIPAT,T-24-02,1153.89,1119.5,INV00226
DR00227,2024-05-10,RJ23GA2833,PLT-B2,KOTA TEXTILE,C-24-43,504.18,491.7,INV00227
DR00228,2024-05-21,RJ23GA1518,PLT-B2,NTPC KORBA,T-24-06,1117.06,1081.3,INV00228
DR00229,2024-05-27,RJ03GA5163,PLT-B2,NTPC KORBA,,966.26,935.4,INV00229
DR00230,2024-05-15,RJ11GA8270,PLT-T1,NTPC MOUDA,T-24-10,990.33,956.7,INV00230
DR00231,2024-05-20,RJ21GA2492,PLT-T1,NTPC MOUDA,T-24-10,954.6,918.3,INV00231
DR00232,2024-05-02,RJ03GA7448,PLT-A1,NTPC NORTH KARANPURA,T-24-14,1895.38,1841.7,INV00232
DR00233,2024-05-24,RJ08GA7486,PLT-A1,NTPC DARLIPALI,T-24-18,2001.31,1941.7,INV00233
DR00234,2024-05-07,RJ25GA6500,PLT-B2,NTPC GADARWARA,T-24-25,841.99,815.3,INV00234
DR00235,2024-05-24,RJ27GA7021,PLT-B2,NTPC GADARWARA,T-24-25,996.41,976.4,INV00235
DR00236,2024-05-23,RJ04GA6663,PLT-T1,SURATGARH STPS,T-24-28,854.42,836.4,INV00236
DR00237,2024-05-07,RJ24GA8066,PLT-T1,SURATGARH STPS,T-24-28,943.36,921.9,INV00237
DR00238,2024-06-26,RJ16GA4155,PLT-A1,BHILWARA PAPER,C-23-39,511.0,500.0,INV00238
