tender_ref,plant,grade_code,tonnes,window_start,window_end,rate_per_t,freight_per_t,quoted_gcv,option_pct,contract_type,loa_no
T-25-07,NTPC Korba,PLT-A1,22200,2025-04-01,2026-03-31,8630,1640,3200,0.25,cumulative,LOA/T-25-07
T-25-11,NTPC Mouda,PLT-A1,22700,2025-04-01,2026-03-31,7490,1450,3200,0.25,cumulative,LOA/T-25-11
T-25-15,NTPC North Karanpura,PLT-B2,23800,2025-04-01,2026-03-31,7770,1720,3200,0.25,cumulative,LOA/T-25-15
T-25-19,NTPC Darlipali,PLT-T1,26100,2025-04-01,2026-03-31,8810,1810,3200,0.25,cumulative,LOA/T-25-19
T-25-22,NTPC Lara,PLT-B2,21900,2025-04-01,2026-03-31,8080,1690,3200,0.25,cumulative,LOA/T-25-22
T-25-26,NTPC Gadarwara,PLT-T1,26700,2025-04-01,2026-03-31,8410,1380,3200,0.25,cumulative,LOA/T-25-26
T-25-29,Suratgarh STPS,PLT-B2,24200,2025-04-01,2026-03-31,7460,740,3100,0.25,cumulative,LOA/T-25-29
C-25-37,Jaipur Bottling,PLT-T1,7200,2025-06-01,2026-05-31,7570,780,3300,0.0,scheduled,LOA/C-25-37
C-25-33,Nagaur Cement,PLT-T1,8500,2025-06-01,2026-05-31,7930,620,3100,0.0,scheduled,LOA/C-25-33
T-26-04,NTPC Sipat,PLT-T1,23700,2026-04-01,2027-03-31,9060,1880,3200,0.25,cumulative,LOA/T-26-04
C-26-45,Kota Textile,PLT-A1,8000,2026-04-01,2027-03-31,8190,600,3000,0.0,scheduled,LOA/C-26-45
T-26-08,NTPC Korba,PLT-A1,26900,2026-04-01,2027-03-31,8650,1640,3200,0.25,cumulative,LOA/T-26-08
T-26-12,NTPC Mouda,PLT-B2,21000,2026-04-01,2027-03-31,8360,1450,3200,0.25,cumulative,LOA/T-26-12
T-26-16,NTPC North Karanpura,PLT-T1,24400,2026-04-01,2027-03-31,8590,1720,3200,0.25,cumulative,LOA/T-26-16
T-26-20,NTPC Darlipali,PLT-A1,26900,2026-04-01,2027-03-31,8400,1810,3200,0.25,cumulative,LOA/T-26-20
T-26-23,NTPC Lara,PLT-B2,22600,2026-04-01,2027-03-31,8740,1690,3200,0.25,cumulative,LOA/T-26-23
T-26-30,Suratgarh STPS,PLT-T1,23700,2026-04-01,2027-03-31,8600,740,3100,0.25,cumulative,LOA/T-26-30
C-26-38,Jaipur Bottling,PLT-A1,7500,2026-06-01,2027-05-31,8450,780,3300,0.0,scheduled,LOA/C-26-38
C-26-34,Nagaur Cement,PLT-T1,7100,2026-06-01,2027-05-31,8350,620,3100,0.0,scheduled,LOA/C-26-34
C-26-41,Bhilwara Paper,PLT-A1,6000,2026-07-01,2027-06-30,8800,540,3000,0.0,scheduled,LOA/C-26-41
